sku,position
SAAA24163,1
SAAA24160,2
SAAA24169,3
SAAA24162,4
SAAA24161,5
SAAA24170,6
SAAA24172,7
SAAA24165,8
SAAA29979,9
SAAA29964,10
SAAA29965,11
SAAA29967,12
SAAA29968,13
SAAA29969,14
SAAA29978,15
SAAA29975,16
SAAA29982,17
SAAA29981,18
SAAA29983,19
SAAA29984,20
SAAA29985,21
SAAA29850,22
SAAD5262,23
SAAA29844,24
SAAE7422,25
SAAA27574,26
SAAD6128,27
SAAC3569,28
SAAD6134,29
SAAE8089,30
SAAD6745,31
SAAD6132,32
SAAC4257,33
SAAD5274,34
SAAD4808,35
SAAD4806,36
SAAD4814,37
SAAD4810,38
SAAD4806,39
SAAD4807,40
SAAD4808,41
SAAD4809,42
SAAD4810,43
SAAD4811,44
SAAD4812,45
SAAD4813,46
SAAD4814,47
SAAD4815,48
