sku,position
SAAP27013,310
SAAP27012,370
SAAP27011,447
SAAP27010,898
SAAP27009,520
SAAP27008,775
SAAP27007,627
SAAP27006,373
SAAP27005,148
SAAP27004,868
SAAP27003,92
SAAP27002,136
SAAP26992,658
SAAP26985,51
SAAP26956,283
SAAP26955,797
SAAP26954,145
SAAP26953,865
SAAP26950,195
SAAP26949,292
SAAP26948,137
SAAP26947,714
SAAP26946,751
SAAP26945,427
SAAP26944,156
SAAP26849,616
SAAP26840,666
SAAP26572,809
SAAP26571,647
SAAP26570,351
SAAP26569,560
SAAP26568,996
SAAP26567,281
SAAP26566,822
SAAP26565,298
SAAP26564,439
SAAP26563,357
SAAP26562,540
SAAP26561,306
SAAP26560,851
SAAP26559,386
SAAP26558,436
SAAP26557,373
SAAP26556,605
SAAP26555,806
KRTAP3658,324
KRTAP3653,255
KRTAP3664,442
KRTAP3663,141
KRTAP3662,410
KRTAP3661,823
KRTAP3660,285
KRTAP3659,8
SKDAP9135,81
SKDAP9134,655
SKDAP9133,864
SKDAP9132,286
SKDAP9131,539
SKDAP9130,167
SKDAP9129,497
SKDAP9128,892
SKDAP9127,626
SAAP26586,363
SAAP26585,643
SAAP26584,691
SAAP26583,76
SAAP26582,551
SAAP26581,569
SAAP26580,193
SAAP26579,274
SAAP26578,484
SAAP26577,855
SAAP26633,121
SAAP26632,565
SAAP26631,778
SAAP26630,800
SAAP26629,552
SAAP26628,238
SAAP26627,81
SAAP26626,772
SAAP26625,967
SAAP26624,411
SAAP26594,583
SAAP26593,828
SAAP26592,395
SAAP26591,566
SAAP26590,304
SAAP26588,497
SAAP26587,99
SAAP26573,752
SAAP26623,523
SAAP26622,888
SAAP26621,102
SAAP26620,941
SAAP26619,912
SAAP26618,60
SAAP26617,152
SAAP26616,316
SAAP26615,112
SAAP26614,847
SAAP26613,697
SAAP26609,291
SAAP26605,582
SAAP26487,750
SAAP26486,533
SAAP26485,157
SAAP26484,527
SAAP26483,241
SAAP26482,903
SAAP26481,939
SAAP26480,513
SAAP26479,234
SAAP26478,983
SAAP26477,73
KRTAP3521,800
KRTAP3520,55
KRTAP3519,104
KRTAP3517,908
KRTAP3516,795
KRTAP3514,874
SAAP26476,378
SAAP26475,977
SAAP26474,375
SAAP26473,527
SAAP26472,197
SAAP26471,361
SAAP26470,869
SAAP26469,701
SAAP26523,985
KRTAP3533,438
KRTAP3532,355
KRTAP3531,398
KRTAP3530,978
KRTAP3529,742
KRTAP3528,375
SAAP26364,372
KRTAP3456,169
KRTAP3455,753
KRTAP3454,879
KRTAP3453,97
KRTAP3452,408
KRTAP3451,564
KRTAP3450,322
KRTAP3449,457
KRTAP3448,404
KRTAP3447,683
SKDAP9075,410
SKDAP9073,548
CCAO3562,55
CCAO3561,289
CCAO3560,825
CCAO3559,88
CCAO3558,906
CCAO3557,339
CCAO3556,776
CCAO3555,790
CCAO3554,603
CCAO3553,898
CCAO3552,564
CCAO3551,725
CCAO3550,163
CCAO3549,923
CCAO3548,834
CCAO3547,503
CCAO3546,789
CCAO3545,254
CCAO3544,495
CCAO3543,820
CCAO3542,438
CCAO3541,510
CCAO3540,72
CCAO3539,652
CCAO3538,746
CCAO3537,465
CCAO3536,248
CCAO3535,281
CCAO3534,385
CCAO3533,326
CCAO3532,124
CCAO3531,403
CCAO3530,933
CCAO3529,148
CCAO3528,256
CCAO3527,590
CCAO3526,629
CCAO3525,588
CCAO3524,425
SAAP26203,301
SAAP26195,207
SAAP26317,852
SAAP26311,286
KRTAP3527,191
KRTAP3526,191
KRTAP3525,676
KRTAP3524,964
KRTAP3523,615
KRTAP3522,599
SAAP26249,608
RSAAL19419,903
SKDAO8986,109
SKDAO8985,593
SKDAO8984,580
SKDAO8983,905
SKDAO8982,450
SKDAO8981,764
SKDAO8980,334
SKDAO8979,287
SKDAO8978,413
SKDAO8977,256
SKDAO8976,831
SKDAO8975,445
SKDAO8974,753
SKDAO8973,487
SKDAO8972,274
CCAP3569,344
CCAP3568,350
CCAP3567,528
CCAP3566,393
CCAP3565,839
CCAP3564,530
CCAP3563,562
SAAO25925,528
SAAO25924,917
SAAO25923,115
SAAO25922,572
SAAO25921,503
SAAO25920,545
SKDAO9036,936
SKDAO9035,425
SKDAO9032,369
SKDAO9029,939
SKDAP9064,178
SKDAP9063,396
SKDAP9062,981
SKDAP9061,834
SKDAP9060,253
SKDAP9059,308
SAAO25836,179
SAAO25645,895
SAAO25644,945
SAAO25643,25
SAAO25642,764
SAAO25641,336
SAAO25640,885
SAAO25639,385
SAAO25638,59
SAAO25637,313
SAAO25636,725
SAAO25635,432
SAAO25634,511
SAAO25633,101
SAAO25632,141
SAAO25631,864
SAAO25630,358
SAAO25629,295
SAAO25628,259
SAAO25627,806
SAAO25828,519
SAAO25827,284
SAAO25826,612
SAAO25825,418
SAAO25824,830
SAAO25823,631
SAAO25822,426
SAAO25821,874
SAAO25820,144
SAAO25819,337
SAAO25818,780
SAAO25817,247
SAAO25816,551
SAAO25815,197
SAAO25814,229
SAAO25813,830
SAAO25812,581
SAAO25811,280
SAAO25810,370
SAAP25947,647
SAAP25941,276
SAAO25803,374
SAAP25940,88
SAAP25939,851
SAAP25938,224
SAAP25937,216
SAAP25936,976
SAAP25935,923
SAAP25934,852
SAAP25933,746
SAAP25932,228
CCAO3523,948
CCAO3522,375
CCAO3521,368
CCAO3520,805
CCAO3519,781
CCAO3518,279
CCAO3517,724
CCAO3516,867
CCAO3515,447
CCAO3514,687
CCAO3513,415
CCAO3512,856
CCAO3511,661
CCAO3510,967
CCAO3509,307
CCAO3508,924
CCAO3507,579
CCAO3506,468
CCAO3505,265
CCAO3504,341
CCAO3503,422
CCAO3502,97
CCAO3501,708
CCAO3500,858
CCAO3499,92
CCAO3498,622
CCAO3497,821
CCAO3496,706
CCAO3495,852
CCAO3494,866
CCAO3493,332
CCAO3492,164
CCAO3491,360
SAAO25541,834
SAAO25540,739
SAAO25539,825
SAAO25538,750
SAAO25537,922
SAAO25536,687
SAAO25535,659
SAAO25534,407
SAAO25533,90
SAAO25532,309
SAAO25531,677
SAAO25530,386
SAAO25459,587
SAAO25458,699
