sku,position
KRTAL2415,307
KRTAL2416,62
KRTAL2417,237
KRTAL2418,115
KRTAL2419,130
KRTAL2420,169
KRTAL2421,449
KRTAL2422,340
KRTAL2423,421
KRTAL2424,453
KRTAM2827,470
KRTAM2828,340
KRTAM2829,70
KRTAM2830,351
KRTAM2831,289
KRTAM2832,448
KRTAM2833,96
KRTAM2834,50
KRTAL2318,250
KRTAL2319,312
KRTAL2320,496
KRTAL2321,3
KRTAL2322,336
KRTAL2323,31
KRTAL2324,375
KRTAK2058,223
KRTAK2059,346
KRTAK2060,77
KRTAK2061,355
KRTAK2062,323
KRTAK2063,306
KRTAK2064,430
KRTAK2065,182
KRTAK2066,462
KRTAK2067,100
KRTAK2068,455
KRTAK2069,405
KRTAK2070,336
KRTAP3863,268
KRTAP3882,174
KRTAP3892,63
KRTAP3780,385
KRTAP3782,40
KRTAP3798,251
KRTAP3807,258
KRTAP3835,177
KRTAP3447,163
KRTAP3448,25
KRTAP3449,311
KRTAP3450,407
KRTAP3451,228
KRTAP3452,233
KRTAP3453,39
KRTAP3454,492
KRTAP3455,366
KRTAP3456,420
KRTAP3653,342
KRTAP3654,237
KRTAP3655,14
KRTAP3656,225
KRTAP3657,196
KRTAP3658,484
KRTAN3213,311
KRTAN3214,70
KRTAN3215,298
KRTAN3216,425
KRTAN3217,345
KRTAN3218,437
KRTAP3528,338
KRTAP3529,261
KRTAP3530,131
KRTAP3531,299
KRTAP3532,311
KRTAP3533,345
SKDAP9127,17
SKDAP9128,181
SKDAP9129,309
SKDAP9130,493
SKDAP9131,312
SKDAP9132,425
SKDAP9133,39
SKDAP9134,3
SKDAP9135,165
KRTAI1861,346
KRTAI1862,296
KRTAI1863,293
KRTAI1864,483
KRTAI1865,491
KRTAI1866,65
KRTAI1867,278
KRTAI1868,249
KRTAP3659,73
KRTAP3660,478
KRTAP3661,441
KRTAP3662,483
KRTAP3663,391
KRTAP3664,260
KRTAN3139,63
KRTAN3140,145
KRTAN3141,275
KRTAN3142,120
KRTAI1723,379
KRTAI1724,346
KRTAI1725,326
KRTAI1726,427
KRTAI1727,207
KRTAI1728,376
KRTAI1729,194
KRTAI1730,70
KRTAP3514,51
KRTAP3515,285
KRTAP3516,229
KRTAP3517,482
KRTAP3518,226
KRTAP3519,279
KRTAP3520,363
KRTAP3521,227
KRTAP3777,48
KRTAP3522,239
KRTAP3523,393
KRTAP3524,276
KRTAP3525,431
KRTAP3526,103
KRTAP3527,85
KRTAP3807,489
KRTAM3035,123
KRTAM3036,379
KRTAM3037,319
KRTAM3038,274
KRTAM3039,18
KRTAM3040,55
KRTAM3041,349
KRTAM3042,300
KRTAP3915,57
KRTAP3820,352
