sku,position
DPTAP1146,77
DPTAP1147,107
DPTAP1148,9
DPTAP1149,94
DPTAP1150,204
DPTAP1151,130
DPTAP1152,8
DPTAP1153,204
DPTAP1154,111
DPTAP1155,154
DPTAP1156,138
DPTAP1157,113
DPTAP1158,181
DPTAP1159,75
DPTAP1160,251
DPTAP1161,70
DPTAP1162,178
DPTAP1163,248
DPTAP1164,262
DPTAP1165,138
DPTAP1166,234
DPTAP1167,53
DPTAP1168,250
DPTAP1169,54
DPTAP1170,155
DPTAP1171,91
DPTAP1172,118
DPTAP1173,14
DPTAP1174,130
DPTAP1175,3
DPTAP1176,253
DPTAP1177,113
DPTAP1178,13
DPTAP1179,85
DPTAP1180,4
DPTAP1181,16
DPTAP1182,42
DPTAP1183,66
DPTAP1184,18
DPTAP1185,154
DPTAP1186,63
DPTAP1187,280
DPTAP1188,164
DPTAP1189,109
DPTAP1190,208
DPTAP1191,3
DPTAP1192,269
DPTAP1193,227
DPTAP1194,97
DPTAP1195,94
DPTAP1196,158
DPTAP1197,102
DPTAP1198,35
DPTAP1199,6
DPTAP1200,283
DPTAP1201,73
DPTAP1202,281
DPTAP1203,100
DPTAP1204,256
DPTAP1205,283
DPTAP1206,181
DPTAP1207,120
DPTAP1208,103
DPTAP1209,132
DPTAP1210,31
DPTAP1211,57
DPTAP1212,289
DPTAP1213,137
DPTAP1214,51
DPTAP1215,186
DPTAP1216,255
DPTAP1217,173
DPTAP1218,42
DPTAP1219,65
DPTAP1220,266
DPTAP1221,69
DPTAP1222,178
DPTAP1223,216
DPTAP1224,241
DPTAP1225,43
DPTAP1226,93
DPTAP1227,239
DPTAP1228,151
DPTAP1229,164
DPTAP1230,153
DPTAP1231,111
DPTAP1232,68
DPTAP1233,61
DPTAP1234,50
DPTAP1235,194
DPTAP1236,16
DPTAP1237,75
DPTAP1238,153
DPTAP1239,1
DPTAP1240,234
DPTAP1241,1
DPTAP1242,150
DPTAP1243,168
DPTAP1244,147
DPTAP1245,110
DPTAP1075,214
DPTAP1076,254
DPTAP1077,251
DPTAP1078,197
DPTAP1079,254
DPTAP1080,126
DPTAP1081,280
DPTAP1082,72
DPTAP1083,98
DPTAP1084,186
DPTAP1085,249
DPTAP1086,216
DPTAP1087,41
DPTAP1088,236
DPTAP1089,17
DPTAP1090,275
DPTAP1091,45
DPTAP1092,247
DPTAP1093,74
DPTAP1094,175
DPTAP1095,243
DPTAP1096,58
DPTAP1097,89
DPTAP1098,210
DPTAP1099,255
DPTAP1100,18
DPTAP1101,144
DPTAP1102,43
DPTAP1103,9
DPTAP1104,76
DPTAP1105,177
DPTAP1106,237
DPTAP1107,164
DPTAP1108,198
DPTAP1109,229
DPTAP1110,271
DPTAP1111,157
DPTAP1112,224
DPTAP1113,256
DPTAP1114,170
DPTAP1115,85
DPTAP1116,81
DPTAP1117,175
DPTAP1118,107
DPTAP1119,12
DPTAP1120,226
DPTAP1121,13
DPTAP1122,163
DPTAP1123,66
DPTAP1124,274
DPTAP1125,13
DPTAP1126,71
DPTAP1127,90
DPTAP1128,166
DPTAP1129,254
DPTAP1130,15
DPTAP1131,94
DPTAP1132,256
DPTAP1133,113
DPTAP1134,181
DPTAP1135,267
DPTAP1136,259
DPTAP1137,4
DPTAP1138,163
DPTAP1139,181
DPTAP1140,58
DPTAP1141,94
DPTAP1142,240
DPTAP1143,16
DPTAP1144,235
DPTAP1145,238
