sku,position
DPTAP1146,197
DPTAP1147,191
DPTAP1148,263
DPTAP1149,272
DPTAP1150,59
DPTAP1151,58
DPTAP1152,278
DPTAP1153,156
DPTAP1154,334
DPTAP1155,76
DPTAP1156,120
DPTAP1157,271
DPTAP1158,85
DPTAP1159,32
DPTAP1160,282
DPTAP1161,389
DPTAP1162,262
DPTAP1163,125
DPTAP1164,71
DPTAP1165,37
DPTAP1166,128
DPTAP1167,58
DPTAP1168,75
DPTAP1169,248
DPTAP1170,250
DPTAP1171,60
DPTAP1172,142
DPTAP1173,9
DPTAP1174,20
DPTAP1175,19
DPTAP1176,342
DPTAP1177,121
DPTAP1178,190
DPTAP1179,232
DPTAP1180,335
DPTAP1181,15
DPTAP1182,268
DPTAP1183,259
DPTAP1184,287
DPTAP1185,288
DPTAP1186,158
DPTAP1187,372
DPTAP1188,347
DPTAP1189,328
DPTAP1190,199
DPTAP1191,394
DPTAP1192,288
DPTAP1193,242
DPTAP1194,154
DPTAP1195,130
DPTAP1196,281
DPTAP1197,214
DPTAP1198,15
DPTAP1199,136
DPTAP1200,317
DPTAP1201,142
DPTAP1202,394
DPTAP1203,119
DPTAP1204,143
DPTAP1205,236
DPTAP1206,295
DPTAP1207,174
DPTAP1208,377
DPTAP1209,380
DPTAP1210,325
DPTAP1211,9
DPTAP1212,276
DPTAP1213,233
DPTAP1214,98
DPTAP1215,234
DPTAP1216,216
DPTAP1217,25
DPTAP1218,163
DPTAP1219,341
DPTAP1220,161
DPTAP1221,220
DPTAP1222,292
DPTAP1223,16
DPTAP1224,112
DPTAP1225,87
DPTAP1226,327
DPTAP1227,171
DPTAP1228,195
DPTAP1229,351
DPTAP1230,355
DPTAP1231,273
DPTAP1232,83
DPTAP1233,56
DPTAP1234,292
DPTAP1235,234
DPTAP1236,101
DPTAP1237,283
DPTAP1238,76
DPTAP1239,60
DPTAP1240,296
DPTAP1241,250
DPTAP1242,369
DPTAP1243,179
DPTAP1244,321
DPTAP1245,350
DPTAP1075,36
DPTAP1076,131
DPTAP1077,199
DPTAP1078,77
DPTAP1079,46
DPTAP1080,77
DPTAP1081,282
DPTAP1082,79
DPTAP1083,286
DPTAP1084,288
DPTAP1085,275
DPTAP1086,51
DPTAP1087,57
DPTAP1088,43
DPTAP1089,64
DPTAP1090,52
DPTAP1091,76
DPTAP1092,351
DPTAP1093,72
DPTAP1094,316
DPTAP1095,13
DPTAP1096,222
DPTAP1097,319
DPTAP1098,136
DPTAP1099,224
DPTAP1100,284
DPTAP1101,22
DPTAP1102,114
DPTAP1103,164
DPTAP1104,92
DPTAP1105,142
DPTAP1106,225
DPTAP1107,234
DPTAP1108,30
DPTAP1109,311
DPTAP1110,192
DPTAP1111,147
DPTAP1112,153
DPTAP1113,265
DPTAP1114,357
DPTAP1115,390
DPTAP1116,277
DPTAP1117,215
DPTAP1118,121
DPTAP1119,175
DPTAP1120,322
DPTAP1121,145
DPTAP1122,122
DPTAP1123,102
DPTAP1124,135
DPTAP1125,20
DPTAP1126,204
DPTAP1127,148
DPTAP1128,196
DPTAP1129,325
DPTAP1130,369
DPTAP1131,303
DPTAP1132,154
DPTAP1133,300
DPTAP1134,149
DPTAP1135,121
DPTAP1136,191
DPTAP1137,295
DPTAP1138,166
DPTAP1139,329
DPTAP1140,393
DPTAP1141,290
DPTAP1142,298
DPTAP1143,303
DPTAP1144,266
DPTAP1145,235
