sku,position
SAAD4807,1
SAAA24163,2
SAAA24160,3
SAAC3970,4
SAAD4882,5
SAAD4805,6
SAAD4810,7
SAAA29397,8
SAAD4892,9
SAAD4806,10
SAAA24169,11
SAAA29979,12
SAAA5698,13
SAAD4808,14
SAAA24161,15
SAAD4890,16
SAAA24171,17
SAAD4884,18
GWAD1020,19
SAAD5272,20
SAAA29974,21
SAAD4752,22
SAAD4815,23
SAAA29976,24
SAAD4888,25
CCAA4113,26
SAAA29967,27
SAAB1485,28
SKDAA16704,29
SAAA24172,30
SKDAA17397,31
SAAA29392,32
SKDAC1526,33
CCAC1212,34
SAAD4660,35
SKDAC1628,36
CCAA3931,37
SAAD5269,38
SKDAB1300,39
SAAD4870,40
SAAD4874,41
SKDAB1250,42
PSAAC4289,43
CCAA4114,44
CCAA3141,45
SAAD4854,46
SAAD4834,47
SAAD4742,48
SAAD4887,49
SKDAA17606,50
CCAA1757,51
SAAA29972,52
SKDAC1421,53
SKDAA17611,54
SAAC3206,55
SAAD4860,56
SAAA29965,57
SAAA21463,58
SAAD4886,59
SKDAC1607,60
SAAD4866,61
SAAD4885,62
SKDAC1585,63
SKDAC1657,64
SAAC4250,65
SAAA24162,66
SAAA29973,67
PSAAA29377,68
SAAC4418,69
SAAD4827,70
SAAB1291,71
SAAA27379,72
CCAA3986,73
PSAAC2846,74
SKDAC1525,75
CCAA4028,76
SAAC3965,77
CCAC1398,78
SKDAA10623,79
SAAD4813,80
CCAA2253,81
CCAA4131,82
SAAD4873,83
SAAD4812,84
CCAB1159,85
SAAD4746,86
SAAA25398,87
SAAC3918,88
SAAD4912,89
SAAD5276,90
SKDAC1609,91
SAAA24165,92
SAAA29391,93
CCAC1207,94
SKDAA17111,95
CCAA3856,96
SKDAA14943,97
SAAA29981,98
PSAAC4354,99
SAAA29396,100
SAAA29975,101
SAAD4852,102
SKDAB1285,103
SKDAD1734,104
SKDAA15256,105
PSAAA29370,106
SAAD4747,107
SAAC4424,108
SAAC4115,109
SKDAA16707,110
SAAD4821,111
SAAD4891,112
SKDAA14033,113
PSAAC4063,114
SKDAC1371,115
SAAC3931,116
SAAD4847,117
SKDAA17608,118
SAAD4809,119
CCAA3987,120
SAAA25251,121
SKDAA17431,122
SAAA29984,123
SKDAA14032,124
SKDAD1736,125
PSAAC2611,126
SAAC3174,127
SAAD4678,128
SKDAD1759,129
SAAD4839,130
SKDAA17383,131
CCAA4026,132
SAAA28874,133
SKDAA17680,134
SAAD4811,135
SKDAA16695,136
SAAA29978,137
SAAD4819,138
SAAA29970,139
SAAD4751,140
SAAD4889,141
SKDAA17536,142
CCAA4111,143
SAAC4266,144
SKDAA16140,145
SKDAC1604,146
SKDAB1296,147
CCAA3936,148
CCAC1222,149
SAAA29977,150
CCAC1209,151
PSAAA26198,152
SAAC3964,153
SKDAA17531,154
CCAA3313,155
SAAD4851,156
SKDAC1583,157
SKDAB1297,158
CCAA3983,159
SAAA29985,160
SAAC3463,161
SAAC3971,162
SAAA29395,163
PSAAC3077,164
SAAA29983,165
SAAC4255,166
SAAC4121,167
SKDAA17082,168
SAAA27751,169
SKDAC1560,170
CCAC1319,171
SAAA29629,172
SAAA27378,173
PSAAC4391,174
PSAAD4500,175
SKDAA14637,176
SKDAC1360,177
CCAC1218,178
SKDAC1610,179
SAAD4668,180
SAAD4881,181
SKDAA17114,182
CCAA3307,183
CCAA3932,184
SAAA29966,185
PSKDAA15572,186
SAAC4257,187
SAAD4732,188
CCAA2863,189
SAAA21457,190
SKDAA16259,191
CCAA4096,192
PSAAC3156,193
SAAC3911,194
SKDAA17112,195
SKDAD1802,196
CCAC1213,197
SAAD4845,198
SKDAC1627,199
SKDAA17570,200
SKDAD1741,201
SKDAA17085,202
KIDSAA0075,203
SAAA29850,204
SAAD4849,205
CCAA3984,206
PSAAC4060,207
PSAAD4683,208
SAAA29167,209
SAAC3963,210
SAAC4277,211
SAAD4735,212
CCAB1169,213
SAAC4253,214
CCAC1443,215
SAAA27753,216
SAAA29152,217
SAAA29170,218
SKDAD1822,219
PSAAA26403,220
PSAAC4027,221
SAAC3962,222
SAAD4841,223
SAAD4883,224
CCAC1394,225
GWAD1022,226
SAAB1734,227
SAAD5739,228
SKDAA15132,229
SKDAC1579,230
CCAA2721,231
SAAD4755,232
SAAD4833,233
SKDAB1283,234
CCAA3144,235
PSAAA26610,236
SAAD4867,237
SKDAC1551,238
SAAC3587,239
SAAC4242,240
SAAA25084,241
SAAA24541,242
SAAA29969,243
SAAD4669,244
SAAD4753,245
SKDAD1730,246
SAAD4734,247
PSAAD4448,248
SKDAA14841,249
SKDAA17395,250
SAAA18735,251
CCAC1446,252
SAAA25421,253
SAAA29393,254
SAAD4637,255
