sku,position
SAAA29979,1
SAAA24169,2
SAAA24163,3
SAAA24170,4
SKDAH3898,5
SAAG11331,6
SAAJ15477,7
SKDAG3318,8
SAAA24172,9
CCAI2411,10
SAAG11325,11
CCAI2424,12
SAAG11337,13
SKDAJ5288,14
SAAH11863,15
SKDAG3320,16
SAAA24160,17
SAAA29969,18
SAAJ16632,19
SKDAJ5078,20
SKDAF2942,21
SKDAI4610,22
CCAI2402,23
SAAH11864,24
SKDAJ5161,25
SKDAI4411,26
CCAG1944,27
SAAG10837,28
GWAI1204,29
SAAG10833,30
SAAC3111,31
PSAAI13046,32
SKDAI4389,33
SAAH12256,34
CCAG1949,35
SKDAH3900,36
PCCAI2366,37
SKDAJ5081,38
SAAF9763,39
SAAF9874,40
SKDAA16931,41
SKDAH3937,42
SAAD4807,43
PSAAI13413,44
SKDAB1248,45
SAAF9274,46
CCAI2435,47
SKDAI4409,48
SKDAI4387,49
CCAI2436,50
CCAI2292,51
SKDAI4340,52
SKDAI4407,53
CCAI2226,54
SKDAJ5101,55
SKDAF3124,56
SAAH12259,57
KRTAI1880,58
SAAJ16546,59
SKDAI4528,60
SKDAH3802,61
SKDAH3897,62
SAAG11336,63
CCAI2441,64
SKDAF2940,65
SKDAH3759,66
CCAI2432,67
SAAJ14956,68
SAAF9323,69
SAAI13318,70
SKDAI4285,71
SAAI13483,72
CCAG1941,73
SAAG10661,74
SAAG11323,75
SKDAH3919,76
SAAG10828,77
SKDAJ5020,78
SAAH12255,79
SAAJ14239,80
SKDAI4594,81
CCAI2387,82
SAAA29397,83
SKDAH3942,84
SAAI13371,85
SKDAI4322,86
SAAA29391,87
SKDAI4326,88
SKDAI4449,89
SAAA29967,90
SKDAG3600,91
SAAF9374,92
SKDAJ5286,93
CCAI2298,94
SAAA26132,95
SAAJ16499,96
SKDAH3765,97
SAAF8774,98
SAAD6249,99
SAAJ14795,100
SAAJ15323,101
SAAD4866,102
SAAJ16046,103
SAAC3206,104
CCAI2393,105
SAAA29974,106
SAAJ15137,107
SAAJ16495,108
CCAJ2589,109
SAAJ15564,110
SAAJ16638,111
CCAI2231,112
SKDAI4652,113
SAAE7704,114
SAAJ16370,115
SKDAH3938,116
SAAG11329,117
SAAH11873,118
SAAJ16493,119
SKDAJ4993,120
CCAI2395,121
PSAAI12916,122
SKDAI4368,123
SKDAF2821,124
CCAI2229,125
SAAJ15582,126
SAAH12182,127
SAAJ16512,128
SKDAE2132,129
SKDAJ4777,130
SAAJ16592,131
SAAF9872,132
SAAJ14611,133
SKDAH3727,134
SKDAH3818,135
SKDAJ5181,136
GWAI1164,137
SAAH11865,138
SAAJ15189,139
SKDAF2819,140
SKDAJ5254,141
CCAI2386,142
SKDAI4690,143
SAAF9758,144
SAAG11335,145
SAAI13119,146
SAAI13171,147
SAAI13297,148
SAAJ15039,149
SAAJ15345,150
SAAI13112,151
SAAA29981,152
SAAD4815,153
SAAE7316,154
SKDAH3760,155
SKDAH3916,156
SAAC3962,157
SAAJ14770,158
SKDAB1251,159
PSAAI13021,160
CCAI2434,161
SAAG11326,162
SAAH12422,163
SAAI14111,164
SAAG10827,165
CCAI2439,166
KRTAI1676,167
SAAJ15294,168
KRTAI1766,169
KRTAI1714,170
SKDAI4348,171
SKDAJ4831,172
SKDAJ5114,173
SAAH11862,174
SKDAH3821,175
SKDAI4393,176
SKDAI4727,177
CCAI2366,178
KRTAI1892,179
SAAD6105,180
SAAI13084,181
SAAJ15532,182
SKDAG3609,183
SKDAJ4881,184
SKDAJ5098,185
CCAI2296,186
SAAI13088,187
SKDAI4537,188
SKDAJ4764,189
CCAC1212,190
SAAJ14893,191
SAAJ14894,192
SAAJ15110,193
SKDAJ5015,194
SAAI13968,195
SAAE7393,196
SAAJ15466,197
CCAH2154,198
SAAI13193,199
SAAJ16539,200
SKDAH3977,201
SKDAI4346,202
SKDAI4653,203
SAAJ14464,204
CCAI2517,205
SAAD4755,206
SAAD6118,207
SKDAG3516,208
SKDAI4091,209
CCAI2388,210
SAAJ15315,211
SAAE7583,212
SAAJ15237,213
SAAJ16646,214
SKDAH3762,215
SKDAI4391,216
KRTAI1841,217
SAAJ14879,218
SAAJ16455,219
SAAJ16644,220
SAAG10413,221
SAAD6109,222
SAAI13101,223
SAAJ15286,224
SKDAH3906,225
SKDAH3939,226
SKDAI4272,227
SAAJ16175,228
SAAJ16181,229
SAAJ16631,230
