sku,position
SAAG11325,1
SAAA29979,2
SKDAG3318,3
CCAJ2589,4
SAAH11863,5
SKDAI4610,6
SKDAK5545,7
CCAJ2580,8
SAAH11864,9
CCAK2698,10
SAAA24163,11
PSAAI13413,12
SKDAK5813,13
SAAF9274,14
SAAK17491,15
SKDAH3900,16
SAAH12259,17
CCAG1941,18
CCAI2508,19
SAAG11327,20
SAAG11326,21
SAAA24170,22
SAAG11331,23
SKDAK6004,24
CCAK2701,25
SKDAH3898,26
CCAG1944,27
PCCAI2366,28
SAAJ16125,29
SAAK17488,30
SAAG11323,31
SAAK17495,32
SKDAK5793,33
SKDAI4300,34
PSAAJ15206,35
SKDAF2942,36
SAAH12048,37
SAAH12256,38
SAAK17480,39
SAAD4807,40
SAAI12781,41
CCAI2439,42
SKDAK6144,43
KRTAK2298,44
SKDAG3518,45
CCAK2660,46
SAAJ16124,47
SAAK17481,48
SAAJ16656,49
CCAG2020,50
CCAH2153,51
SKDAH3823,52
SAAH12050,53
SKDAI4409,54
SAAG11336,55
SAAJ16666,56
SAAG11469,57
SKDAH3760,58
SAAL18725,59
SKDAK5916,60
SKDAJ4923,61
SKDAK5780,62
KRTAI1698,63
SAAK17997,64
SAAK18144,65
SAAG11333,66
SAAI14113,67
SKDAJ5253,68
SAAJ14619,69
SAAK17478,70
SKDAK6005,71
SAAK18297,72
SKDAK5571,73
SAAI14112,74
SKDAK6002,75
SKDAK5939,76
SAAK17852,77
CCAG1930,78
SAAA29981,79
CCAC1400,80
SAAL18477,81
CCAK2700,82
SKDAH3822,83
SKDAL6236,84
SAAJ14287,85
SKDAI4646,86
CCAK2656,87
SKDAK5570,88
SKDAH3937,89
SKDAI4242,90
SAAH12417,91
SAAK17009,92
KIDSAK1209,93
KRTAK2310,94
SKDAK5787,95
KRTAK2252,96
SKDAI4405,97
SKDAI4359,98
SKDAC1547,99
GWAL1289,100
CCAH2154,101
CCAI2294,102
SAAA24160,103
SAAJ16607,104
SKDAK6164,105
SKDAE2454,106
CCAI2273,107
SKDAI4641,108
SAAL18729,109
CCAC1443,110
SKDAI4326,111
SKDAI4736,112
CCAH2108,113
SAAD5808,114
SAAH11865,115
CCAA2292,116
SAAJ14724,117
CCAH2151,118
SAAK16783,119
SKDAK5573,120
KRTAK2253,121
SAAJ14905,122
SKDAI4285,123
SAAD4749,124
SKDAK5534,125
PSAAH12589,126
SAAJ14617,127
SKDAH3803,128
SAAK17856,129
PSAAJ16275,130
SKDAK5808,131
SKDAH4021,132
CCAI2298,133
SKDAH3820,134
SAAF8903,135
SAAG10663,136
SKDAI4690,137
SKDAH3897,138
SAAJ14920,139
SKDAI4293,140
SKDAK6003,141
CCAK2764,142
CCAK2629,143
SAAH12262,144
SKDAI4524,145
CCAG1943,146
SAAI13171,147
CCAL2789,148
SAAE7704,149
SKDAK5883,150
SKDAJ5171,151
SAAH11873,152
SAAK18140,153
PSAAB1136,154
SAAJ16632,155
SKDAI4343,156
SAAK17486,157
CCAI2292,158
SKDAI4389,159
SKDAH3903,160
CCAG1949,161
KRTAK2297,162
SKDAK5909,163
SAAJ15267,164
PSAAG10479,165
SKDAJ5432,166
PCCAI2346,167
SAAK17469,168
SAAK17853,169
SKDAH3765,170
SKDAH3938,171
SKDAI4645,172
CCAG1939,173
CCAJ2577,174
SAAK18181,175
GWAD1019,176
SAAI13761,177
SKDAI4542,178
SKDAJ4780,179
SAAD5272,180
SAAJ14159,181
SAAF9759,182
SAAJ15520,183
CCAF1871,184
PSKDAI4334,185
SAAG11321,186
SAAI13959,187
SAAJ16122,188
SKDAI4411,189
