sku,position
SAAA13657,2000
SAAA13659,2001
SAAA13906,2002
SAAA13907,2003
SAAA13910,2004
SAAA13915,2005
SAAA13916,2006
SAAA14140,2007
SAAA14152,2008
SAAA14248,2009
SAAA14348,2010
SAAA14350,2011
SAAA14419,2012
SAAA14426,2013
SAAA14428,2014
SAAA14433,2015
SAAA14515,2016
SAAA14530,2017
SAAA14533,2018
SAAA14596,2019
SAAA14608,2020
SAAA14611,2021
SAAA14784,2022
SAAA14817,2023
SAAA14820,2024
SAAA14821,2025
SAAA14824,2026
SAAA14953,2027
SAAA14956,2028
SAAA14969,2029
SAAA14975,2030
SAAA15072,2031
SAAA15077,2032
SAAA15095,2033
SAAA15201,2034
SAAA15205,2035
SAAA15206,2036
SAAA15212,2037
SAAA15243,2038
SAAA15343,2039
SAAA15345,2040
SAAA15347,2041
SAAA15355,2042
SAAA15425,2043
SAAA15464,2044
SAAA15513,2045
SAAA15641,2046
SAAA15643,2047
SAAA15650,2048
SAAA15652,2049
SAAA15661,2050
SAAA15809,2051
SAAA15810,2052
SAAA15814,2053
SAAA15924,2054
SAAA15970,2055
SAAA15977,2056
SAAA15985,2057
SAAA16092,2058
SAAA16101,2059
SAAA16135,2060
SAAA16205,2061
SAAA16247,2062
SAAA16262,2063
SAAA16281,2064
SAAA16297,2065
SAAA16350,2066
SAAA16429,2067
SAAA16449,2068
SAAA16537,2069
SAAA16591,2070
SAAA16623,2071
SAAA16629,2072
SAAA16640,2073
SAAA16643,2074
SAAA16646,2075
SAAA16647,2076
SAAA16665,2077
SAAA16672,2078
SAAA16673,2079
SAAA16769,2080
SAAA16838,2081
SAAA16934,2082
SAAA16943,2083
SAAA16964,2084
SAAA16969,2085
SAAA16972,2086
SAAA16975,2087
SAAA16979,2088
SAAA16981,2089
SAAA17083,2090
SAAA17086,2091
SAAA17112,2092
SAAA17189,2093
SAAA17198,2094
SAAA17311,2095
SAAA17315,2096
SAAA17320,2097
SAAA17330,2098
SAAA17351,2099
SAAA17360,2100
SAAA17412,2101
SAAA17437,2102
SAAA17441,2103
SAAA17442,2104
SAAA17444,2105
SAAA17486,2106
SAAA17508,2107
SAAA17562,2108
SAAA17582,2109
SAAA17780,2110
SAAA17797,2111
SAAA17831,2112
SAAA17834,2113
SAAA17884,2114
SAAA17887,2115
SAAA17890,2116
SAAA18026,2117
SAAA18028,2118
SAAA18076,2119
SAAA18113,2120
SAAA18190,2121
SAAA18212,2122
SAAA18217,2123
SAAA18228,2124
SAAA18251,2125
SAAA18258,2126
SAAA18274,2127
SAAA18287,2128
SAAA18288,2129
SAAA18289,2130
SAAA18297,2131
SAAA18299,2132
SAAA18302,2133
SAAA18318,2134
SAAA18327,2135
SAAA18329,2136
SAAA18333,2137
SAAA18377,2138
SAAA18385,2139
SAAA18386,2140
SAAA18395,2141
SAAA18565,2142
SAAA18566,2143
SAAA18567,2144
SAAA18569,2145
SAAA18581,2146
SAAA18582,2147
SAAA18584,2148
SAAA18596,2149
SAAA18646,2150
SAAA18684,2151
SAAA18688,2152
SAAA18689,2153
SAAA18704,2154
SAAA18806,2155
SAAA18808,2156
SAAA18828,2157
SAAA18840,2158
SAAA18880,2159
SAAA18882,2160
SAAA18943,2161
SAAA19012,2162
SAAA19018,2163
SAAA19028,2164
SAAA19078,2165
SAAA19081,2166
SAAA19084,2167
SAAA19172,2168
SAAA19202,2169
SAAA19214,2170
SAAA19249,2171
SAAA19392,2172
SAAA3091,2173
SAAA3597,2174
SAAA5024,2175
SAAA5792,2176
SAAA9107,2177
SAAA9108,2178
SAAA9867,2179
SAAABL013,2180
SKDAA0900,2181
SKDAA0903,2182
SKDAA10055,2183
SKDAA10093,2184
SKDAA10140,2185
SKDAA10151,2186
SKDAA10229,2187
SKDAA10299,2188
SKDAA10455,2189
SKDAA10458,2190
SKDAA10583,2191
SKDAA10612,2192
SKDAA10622,2193
SKDAA10776,2194
SKDAA10778,2195
SKDAA10781,2196
SKDAA10796,2197
SKDAA10821,2198
SKDAA11174,2199
SKDAA11260,2200
SKDAA11262,2201
SKDAA11263,2202
SKDAA11265,2203
SKDAA11275,2204
SKDAA11277,2205
SKDAA11298,2206
SKDAA11303,2207
SKDAA11318,2208
SKDAA11656,2209
SKDAA11657,2210
SKDAA11768,2211
SKDAA11771,2212
SKDAA11779,2213
SKDAA11780,2214
SKDAA11787,2215
SKDAA11919,2216
