sku,position
SAAA18161,2000
SAAA18165,2001
SAAA18251,2002
SAAA18257,2003
SAAA18300,2004
SAAA18377,2005
SAAA18386,2006
SAAA18397,2007
SAAA18398,2008
SAAA18596,2009
SAAA18704,2010
SAAA18738,2011
SAAA18944,2012
SAAA18945,2013
SAAA18962,2014
SAAA18979,2015
SAAA18987,2016
SAAA19013,2017
SAAA19019,2018
SAAA19024,2019
SAAA19047,2020
SAAA19068,2021
SAAA19196,2022
SAAA19244,2023
SAAA19251,2024
SAAA3898,2025
SAAA7655,2026
SKDAA10301,2027
SKDAA11378,2028
SKDAA11689,2029
SKDAA11897,2030
SKDAA11902,2031
SKDAA11907,2032
SKDAA11920,2033
SKDAA11936,2034
SKDAA12112,2035
SKDAA12337,2036
SKDAA12347,2037
SKDAA12426,2038
SKDAA12607,2039
SKDAA8790,2040
SKDAA9351,2041
SKDAA9534,2042
CCAA1146,2043
CCAA1749,2044
CCAA1771,2045
CCAA1946,2046
CCAA1951,2047
CCAA2340,2048
CCAA2385,2049
CCAA2474,2050
GWAA0286,2051
GWAA0299,2052
SAAA11978,2053
SAAA11982,2054
SAAA13170,2055
SAAA13475,2056
SAAA13909,2057
SAAA13911,2058
SAAA14526,2059
SAAA14531,2060
SAAA14799,2061
SAAA14817,2062
SAAA14818,2063
SAAA15441,2064
SAAA15514,2065
SAAA16312,2066
SAAA16466,2067
SAAA16623,2068
SAAA16825,2069
SAAA16844,2070
SAAA16954,2071
SAAA16978,2072
SAAA17067,2073
SAAA17305,2074
SAAA17317,2075
SAAA17434,2076
SAAA17449,2077
SAAA17512,2078
SAAA18032,2079
SAAA18121,2080
SAAA18129,2081
SAAA18179,2082
SAAA18180,2083
SAAA18258,2084
SAAA18279,2085
SAAA18311,2086
SAAA18412,2087
SAAA18612,2088
SAAA18801,2089
SAAA18803,2090
SAAA18847,2091
SAAA18968,2092
SAAA18972,2093
SAAA18986,2094
SAAA19186,2095
SAAA9947,2096
SAAABL006,2097
SKDAA10571,2098
SKDAA11270,2099
SKDAA11630,2100
SKDAA11917,2101
SKDAA12342,2102
SKDAA12348,2103
SKDAA12573,2104
SKDAA9850,2105
CCAA1805,2106
CCAA1928,2107
CCAA2012,2108
CCAA2025,2109
CCAA2302,2110
CCAA2308,2111
CCAA2388,2112
CCAA2394,2113
CCAA2459,2114
CCAA2541,2115
CCAA2598,2116
CCAA2608,2117
SAAA11717,2118
SAAA14425,2119
SAAA14426,2120
SAAA14435,2121
SAAA14618,2122
SAAA15345,2123
SAAA15439,2124
SAAA15510,2125
SAAA15516,2126
SAAA15823,2127
SAAA16135,2128
SAAA16271,2129
SAAA16423,2130
SAAA16629,2131
SAAA16956,2132
SAAA16961,2133
SAAA17043,2134
SAAA17053,2135
SAAA17188,2136
SAAA17409,2137
SAAA17454,2138
SAAA17755,2139
SAAA17859,2140
SAAA17894,2141
SAAA17926,2142
SAAA18146,2143
SAAA18264,2144
SAAA18291,2145
SAAA18399,2146
SAAA18456,2147
SAAA18644,2148
SAAA18877,2149
SAAA18881,2150
SAAA18886,2151
SAAA18971,2152
SAAA19022,2153
SAAA8906,2154
SAAABL012,2155
SAAABL017,2156
SAAABL023,2157
SKDAA10069,2158
SKDAA10093,2159
SKDAA10577,2160
SKDAA10698,2161
SKDAA10817,2162
SKDAA11318,2163
SKDAA11335,2164
SKDAA11870,2165
SKDAA11924,2166
SKDAA11973,2167
SKDAA12144,2168
SKDAA12181,2169
SKDAA12225,2170
SKDAA12466,2171
SKDAA12496,2172
SKDAA12567,2173
SKDAA9057,2174
SKDAA9081,2175
CCAA1807,2176
CCAA1927,2177
CCAA1930,2178
CCAA2348,2179
CCAA2350,2180
CCAA2395,2181
CCAA2397,2182
CCAA2405,2183
CCAA2450,2184
CCAA2478,2185
CCAA2489,2186
CCAA2615,2187
GWAA0313,2188
SAAA12542,2189
SAAA14247,2190
SAAA14250,2191
SAAA14419,2192
SAAA14592,2193
SAAA15349,2194
SAAA15659,2195
SAAA15975,2196
SAAA16071,2197
SAAA16162,2198
SAAA16838,2199
SAAA16969,2200
SAAA16970,2201
SAAA16973,2202
SAAA17189,2203
SAAA17196,2204
SAAA17291,2205
SAAA17435,2206
SAAA17447,2207
SAAA17452,2208
SAAA17878,2209
SAAA17931,2210
SAAA18028,2211
SAAA18221,2212
SAAA18222,2213
SAAA18321,2214
SAAA18324,2215
SAAA18330,2216
SAAA18376,2217
SAAA18379,2218
SAAA18392,2219
SAAA18599,2220
SAAA18648,2221
SAAA18659,2222
SAAA18684,2223
SAAA18691,2224
SAAA18838,2225
SAAA18840,2226
SAAA18928,2227
SAAA19030,2228
SAAA19051,2229
SAAA19184,2230
SAAA19215,2231
SAAA19238,2232
SAAA9230,2233
SKDAA10226,2234
SKDAA10428,2235
SKDAA10432,2236
SKDAA10681,2237
SKDAA11377,2238
SKDAA11614,2239
SKDAA11657,2240
SKDAA11671,2241
SKDAA11695,2242
SKDAA11773,2243
SKDAA11896,2244
SKDAA11905,2245
SKDAA11922,2246
SKDAA12105,2247
SKDAA12117,2248
SKDAA12301,2249
SKDAA12572,2250
SKDAA8796,2251
SKDAA9050,2252
SKDAA9151,2253
SKDAA9346,2254
SKDAA9377,2255
SKDAA9816,2256
SKDAA9834,2257
CCAA1775,2258
CCAA1813,2259
CCAA1817,2260
CCAA2020,2261
CCAA2059,2262
CCAA2075,2263
CCAA2174,2264
CCAA2263,2265
CCAA2307,2266
CCAA2347,2267
CCAA2370,2268
CCAA2406,2269
CCAA2455,2270
CCAA2465,2271
CCAA2482,2272
CCAA2539,2273
CCAA2548,2274
CCAA2549,2275
CCAA2553,2276
CCAA2603,2277
CCAA2619,2278
GWAA0290,2279
SAAA10837,2280
SAAA10937,2281
SAAA11726,2282
SAAA12066,2283
SAAA13375,2284
SAAA13659,2285
SAAA14143,2286
SAAA14523,2287
SAAA14534,2288
SAAA14819,2289
SAAA14825,2290
SAAA16168,2291
SAAA16334,2292
SAAA16437,2293
SAAA16454,2294
SAAA16558,2295
SAAA16621,2296
SAAA16672,2297
SAAA16790,2298
SAAA16831,2299
SAAA16859,2300
SAAA16963,2301
SAAA16965,2302
SAAA17446,2303
SAAA17511,2304
SAAA17690,2305
SAAA17784,2306
SAAA17808,2307
SAAA17829,2308
SAAA17884,2309
SAAA17927,2310
SAAA17934,2311
SAAA17948,2312
SAAA18010,2313
SAAA18108,2314
SAAA18133,2315
SAAA18143,2316
SAAA18212,2317
SAAA18224,2318
SAAA18231,2319
SAAA18254,2320
SAAA18274,2321
SAAA18296,2322
SAAA18302,2323
SAAA18305,2324
SAAA18323,2325
SAAA18381,2326
SAAA18383,2327
SAAA18598,2328
SAAA18603,2329
SAAA18604,2330
SAAA18681,2331
SAAA18719,2332
SAAA18800,2333
SAAA18807,2334
SAAA18808,2335
SAAA18982,2336
SAAA19054,2337
SAAA19176,2338
SAAA19252,2339
SAAABL013,2340
SKDAA0900,2341
SKDAA10065,2342
SKDAA10303,2343
SKDAA10457,2344
SKDAA10458,2345
SKDAA10533,2346
SKDAA10574,2347
SKDAA10612,2348
SKDAA11088,2349
SKDAA11541,2350
SKDAA11867,2351
SKDAA11914,2352
SKDAA11915,2353
SKDAA11916,2354
SKDAA11988,2355
SKDAA12081,2356
SKDAA12184,2357
SKDAA12220,2358
SKDAA12364,2359
SKDAA12491,2360
SKDAA8703,2361
SKDAA8914,2362
SKDAA9071,2363
SKDAA9096,2364
SKDAA9376,2365
SKDAA9621,2366
SKDAA9872,2367
SKDAA9924,2368
CCAA1789,2369
CCAA1790,2370
CCAA1933,2371
CCAA2017,2372
CCAA2024,2373
CCAA2057,2374
CCAA2118,2375
CCAA2125,2376
CCAA2155,2377
CCAA2172,2378
CCAA2346,2379
CCAA2371,2380
CCAA2386,2381
CCAA2477,2382
CCAA2531,2383
CCAA2543,2384
CCAA2558,2385
GWAA0289,2386
GWAA0311,2387
SAAA11412,2388
SAAA12288,2389
SAAA12833,2390
SAAA13079,2391
SAAA13427,2392
SAAA13482,2393
SAAA13721,2394
SAAA13913,2395
SAAA14261,2396
SAAA14521,2397
SAAA14535,2398
SAAA14824,2399
SAAA14953,2400
SAAA15213,2401
SAAA15214,2402
SAAA15348,2403
SAAA15368,2404
SAAA15442,2405
SAAA15654,2406
SAAA15734,2407
SAAA15973,2408
SAAA16419,2409
SAAA16439,2410
SAAA16671,2411
SAAA16737,2412
SAAA16771,2413
SAAA16806,2414
SAAA16966,2415
SAAA17114,2416
SAAA17502,2417
SAAA17514,2418
SAAA17526,2419
SAAA17807,2420
SAAA17883,2421
SAAA17890,2422
SAAA17918,2423
SAAA17929,2424
SAAA17943,2425
SAAA17949,2426
SAAA18024,2427
SAAA18026,2428
SAAA18219,2429
SAAA18289,2430
SAAA18297,2431
SAAA18380,2432
SAAA18579,2433
SAAA18652,2434
SAAA18709,2435
SAAA18715,2436
SAAA18716,2437
SAAA18794,2438
SAAA18804,2439
SAAA18805,2440
SAAA18949,2441
SAAA18977,2442
SAAA19083,2443
SAAA19171,2444
SAAA19174,2445
SAAA19183,2446
SAAA19185,2447
SAAA19201,2448
SAAA19213,2449
SAAA19217,2450
SAAA19243,2451
SAAA19246,2452
SAAA19253,2453
SAAA19367,2454
SAAA2460,2455
SAAA3014,2456
SAAA4394,2457
SAAABL020,2458
SKDAA0903,2459
SKDAA10090,2460
SKDAA10142,2461
SKDAA10957,2462
SKDAA10990,2463
SKDAA11062,2464
SKDAA11265,2465
SKDAA11296,2466
SKDAA11620,2467
SKDAA11702,2468
SKDAA11783,2469
SKDAA11980,2470
SKDAA11981,2471
SKDAA11982,2472
SKDAA11991,2473
SKDAA12000,2474
SKDAA12072,2475
SKDAA12079,2476
SKDAA12092,2477
SKDAA12154,2478
SKDAA12157,2479
SKDAA12182,2480
SKDAA12306,2481
SKDAA12456,2482
SKDAA12489,2483
