sku,position
SAAA17765,1
SAAA11109,2
CCAA2287,3
SAAA5698,4
SKDAA9726,5
SKDAA10028,6
SAAA17228,7
SAAA17763,8
CCAA2364,9
SKDAA12273,10
SAAA18246,11
CCAA2286,12
SAAA17761,13
SKDAA12474,14
SAAA18436,15
CCAA2292,16
SAAA18233,17
CCAA2270,18
CCAA2032,19
SAAA17768,20
CCAA2289,21
SKDAA10370,22
CCAA2120,23
SKDAA12277,24
SAAA18491,25
CCAA2294,26
SAAA18234,27
SAAA11107,28
CCAA2500,29
SKDAA12271,30
SAAA17762,31
SAAA18249,32
SAAA18237,33
SKDAA12029,34
SKDAA11631,35
SKDAA10718,36
CCAA2283,37
CCAA2281,38
CCAA2285,39
SAAA15504,40
SKDAA10456,41
SAAA17078,42
SAAA18531,43
SKDAA11635,44
SKDAA12272,45
SAAA15502,46
SKDAA12275,47
SAAA15512,48
SAAA18530,49
SAAA18236,50
CCAA2284,51
SAAA18535,52
CCAA2328,53
SAAA18240,54
SAAA18247,55
SAAA12825,56
SKDAA12002,57
SAAA18016,58
SKDAA11349,59
CCAA2511,60
SKDAA12278,61
SAAA18534,62
CCAA2365,63
SAAA18250,64
SAAA13908,65
SKDAA10451,66
SAAA16321,67
SAAA11503,68
CCAA2248,69
SKDAA11392,70
SAAA11969,71
SKDAA12024,72
SAAA17773,73
SAAA16319,74
SAAA17764,75
SAAA11504,76
SKDAA10251,77
SKDAA12476,78
SKDAA12274,79
SAAA18014,80
SAAA18020,81
SAAA18520,82
CCAA2245,83
CCAA2444,84
CCAA2290,85
SAAA18019,86
SAAA18157,87
SAAA14249,88
SAAA18735,89
SAAA18306,90
SAAA12815,91
SAAA17223,92
SKDAA12480,93
SAAA14691,94
CCAA2291,95
CCAA2275,96
SKDAA10854,97
SAAA18731,98
SAAA18015,99
SKDAA11650,100
SAAA17090,101
CCAA1759,102
SAAA18692,103
SAAA16320,104
SAAA11511,105
SKDAA12478,106
SAAA13312,107
CCAA2508,108
SAAA18539,109
SAAA18243,110
CCAA2499,111
SAAA18585,112
CCAA2571,113
CCAA2501,114
SAAA11505,115
SAAA18241,116
CCAA2111,117
SAAA14065,118
CCAA2494,119
SAAA18533,120
CCAA2276,121
CCAA2565,122
SAAA18729,123
SAAA18007,124
CCAA2282,125
SAAA18511,126
CCAA2497,127
SKDAA9410,128
SAAA18450,129
CCAA2268,130
SAAA18486,131
SAAA18733,132
GWAA0294,133
SAAA18726,134
GWAA0301,135
SKDAA10372,136
SAAA17769,137
SKDAA6932,138
GWAA0285,139
SAAA18543,140
SKDAA10714,141
CCAA2510,142
SAAA14272,143
SAAA17648,144
SAAA18017,145
SAAA18213,146
SAAA18411,147
CCAA2265,148
SAAABL010,149
CCAA1144,150
CCAA2368,151
SKDAA10705,152
SAAABL002,153
SAAA18660,154
CCAA2246,155
CCAA2279,156
SAAA18419,157
SAAA17085,158
SAAA18536,159
SKDAA11628,160
CCAA2525,161
SKDAA12255,162
CCAA2584,163
SAAABL001,164
SKDAA11844,165
SAAA18544,166
SAAA18532,167
CCAA2577,168
CCAA2509,169
CCAA2519,170
SAAA18518,171
SAAA17767,172
CCAA1819,173
SAAA15363,174
SAAA17685,175
SKDAA12027,176
SAAA18540,177
SKDAA11739,178
SKDAA9097,179
SKDAA12479,180
SAAA16766,181
CCAA2523,182
SAAA11980,183
SKDAA8960,184
SKDAA9848,185
SAAA15717,186
SAAA18537,187
SAAA16316,188
CCAA2514,189
SAAA11981,190
CCAA2376,191
SAAA16314,192
CCAA2517,193
CCAA2293,194
CCAA2351,195
SAAA18529,196
SKDAA11849,197
SKDAA12424,198
SKDAA10316,199
SAAA11986,200
SAAA18178,201
SAAA18416,202
SAAA18597,203
SAAA18446,204
SAAA11970,205
CCAA1756,206
CCAA2039,207
CCAA2330,208
SAAA18525,209
SKDAA11333,210
SKDAA11387,211
CCAA2498,212
CCAA1821,213
CCAA2528,214
SAAA17235,215
SAAA18232,216
GWAA0305,217
SKDAA10717,218
SKDAA10459,219
CCAA2253,220
SAAA17231,221
SAAA18145,222
SKDAA11634,223
SKDAA10430,224
SKDAA11626,225
SKDAA12032,226
CCAA2274,227
SAAA18487,228
SAAA18415,229
SAAA18734,230
SKDAA11297,231
SAAA17770,232
CCAA2518,233
CCAA2261,234
SKDAA9099,235
SAAA17079,236
SAAA18528,237
CCAA2247,238
SAAA18417,239
SAAA18410,240
SAAA18482,241
SAAA11103,242
SAAA14432,243
SAAA16310,244
SKDAA12262,245
SAAA18730,246
SAAA17772,247
SKDAA11775,248
CCAA2356,249
CCAA2496,250
SAAA17687,251
SKDAA12477,252
SAAA15968,253
SAAA11507,254
SAAA13314,255
SAAA17963,256
SKDAA10431,257
SKDAA12266,258
SAAA17314,259
SAAA17851,260
SKDAA11928,261
SAAA16457,262
SAAA19115,263
SAAA18420,264
SAAA18538,265
SAAA18541,266
SAAA18736,267
SAAA16323,268
SAAA18018,269
SAAA18433,270
CCAA2333,271
CCAA2582,272
SAAA17084,273
SKDAA10249,274
SAAA18694,275
CCAA2318,276
SKDAA11071,277
SKDAA11375,278
SAAA11968,279
SAAA15508,280
SAAA18309,281
SAAA18484,282
SAAA18884,283
SAAA11383,284
SKDAA11792,285
SAAA17771,286
SKDAA11903,287
SAAA18008,288
CCAA2334,289
SAAA14151,290
SAAA18488,291
SAAA18521,292
SAAA11506,293
CCAA2495,294
SAAA16318,295
CCAA2280,296
SKDAA12475,297
SAAA17582,298
SKDAA11214,299
CCAA2359,300
SAAA16313,301
CCAA1720,302
SAAA17088,303
SAAA18425,304
SAAA18563,305
SAAA19050,306
SAAA15826,307
SAAA18489,308
SKDAA11629,309
SKDAA12314,310
GWAA0303,311
CCAA2260,312
CCAA2588,313
SAAA14696,314
SAAA18421,315
SKDAA12276,316
CCAA2277,317
CCAA2576,318
SKDAA9815,319
CCAA2515,320
SAAA17087,321
SAAA18514,322
SKDAA11794,323
CCAA2563,324
SKDAA11944,325
CCAA2381,326
CCAA2569,327
SAAA15482,328
SAAA15718,329
SKDAA11921,330
SKDAA8708,331
SKDAA9373,332
SAAA12758,333
SAAA18448,334
CCAA2259,335
SAAA16590,336
CCAA2336,337
SAAA15656,338
SKDAA9054,339
CCAA2249,340
SKDAA11969,341
CCAA2165,342
GWAA0284,343
SAAA17766,344
SKDAA11294,345
SKDAA8793,346
SAAA12824,347
SAAA14253,348
SAAA18122,349
SAAA18545,350
SKDAA11348,351
CCAA2433,352
SAAA12835,353
SAAA18427,354
SAAA18542,355
SAAA16924,356
SAAA17873,357
SAAA18013,358
SAAA17301,359
SAAA18373,360
GWAA0262,361
SAAA17082,362
SKDAA12191,363
SKDAA12349,364
CCAA2019,365
CCAA2443,366
SAAA17970,367
SAAA18434,368
SAAA18527,369
SKDAA12028,370
GWAA0312,371
SAAA18429,372
CCAA2573,373
SKDAA11871,374
SAAA16819,375
SAAA18242,376
SKDAA11276,377
CCAA2010,378
CCAA2288,379
SAAA14319,380
SKDAA12363,381
CCAA2575,382
SAAA13495,383
SAAA17797,384
SKDAA11846,385
SKDAA12014,386
SKDAA12430,387
SAAA14423,388
SKDAA11945,389
CCAA2512,390
SAAA15424,391
SAAA16593,392
SAAA17568,393
CCAA2015,394
SAAA17686,395
SKDAA12033,396
SKDAA12163,397
SAAA16849,398
SAAA12873,399
