sku	position
SAAA19030	2000
SAAA19051	2001
SAAA19184	2002
SAAA19215	2003
SAAA19238	2004
SKDAA10069	2005
SKDAA10226	2006
SKDAA10682	2007
SKDAA10698	2008
SKDAA10721	2009
SKDAA11076	2010
SKDAA11270	2011
SKDAA11335	2012
SKDAA11378	2013
SKDAA11614	2014
SKDAA11649	2015
SKDAA11917	2016
SKDAA11936	2017
SKDAA12010	2018
SKDAA12030	2019
SKDAA12181	2020
SKDAA12225	2021
SKDAA12265	2022
SKDAA12301	2023
SKDAA12572	2024
SKDAA9057	2025
SKDAA9377	2026
CCAA1771	2027
CCAA1775	2028
CCAA1807	2029
CCAA1812	2030
CCAA1813	2031
CCAA1930	2032
CCAA2302	2033
CCAA2304	2034
CCAA2305	2035
CCAA2350	2036
CCAA2370	2037
CCAA2395	2038
CCAA2445	2039
CCAA2459	2040
CCAA2465	2041
CCAA2539	2042
CCAA2548	2043
CCAA2549	2044
CCAA2553	2045
CCAA2603	2046
CCAA2619	2047
SAAA10837	2048
SAAA13655	2049
SAAA14534	2050
SAAA14825	2051
SAAA15353	2052
SAAA15735	2053
SAAA15823	2054
SAAA16124	2055
SAAA16135	2056
SAAA16168	2057
SAAA16334	2058
SAAA16454	2059
SAAA16621	2060
SAAA16758	2061
SAAA16769	2062
SAAA16838	2063
SAAA16859	2064
SAAA16987	2065
SAAA17200	2066
SAAA17202	2067
SAAA17305	2068
SAAA17447	2069
SAAA17454	2070
SAAA17756	2071
SAAA17784	2072
SAAA17808	2073
SAAA17829	2074
SAAA18028	2075
SAAA18032	2076
SAAA18151	2077
SAAA18153	2078
SAAA18214	2079
SAAA18224	2080
SAAA18257	2081
SAAA18264	2082
SAAA18279	2083
SAAA18397	2084
SAAA18574	2085
SAAA18589	2086
SAAA18598	2087
SAAA18603	2088
SAAA18604	2089
SAAA18681	2090
SAAA18719	2091
SAAA18800	2092
SAAA18807	2093
SAAA18808	2094
SAAA18982	2095
SAAA19054	2096
SAAA19176	2097
SAAA19252	2098
SAAA9230	2099
SAAABL012	2100
SAAABL017	2101
SKDAA0900	2102
SKDAA10297	2103
SKDAA10685	2104
SKDAA11541	2105
SKDAA11642	2106
SKDAA11695	2107
SKDAA11773	2108
SKDAA11890	2109
SKDAA11940	2110
SKDAA11973	2111
SKDAA12004	2112
SKDAA12006	2113
SKDAA12081	2114
SKDAA12103	2115
SKDAA12112	2116
SKDAA12364	2117
SKDAA12491	2118
SKDAA8703	2119
SKDAA8796	2120
SKDAA9050	2121
SKDAA9346	2122
SKDAA9376	2123
SKDAA9621	2124
SKDAA9834	2125
SKDAA9872	2126
SKDAA9924	2127
CCAA1805	2128
CCAA1950	2129
CCAA2071	2130
CCAA2075	2131
CCAA2155	2132
CCAA2172	2133
CCAA2322	2134
CCAA2327	2135
CCAA2340	2136
CCAA2346	2137
CCAA2347	2138
CCAA2348	2139
CCAA2392	2140
CCAA2405	2141
CCAA2473	2142
CCAA2489	2143
CCAA2531	2144
CCAA2543	2145
CCAA2558	2146
GWAA0286	2147
GWAA0292	2148
SAAA12066	2149
SAAA13079	2150
SAAA13375	2151
SAAA13482	2152
SAAA13654	2153
SAAA13657	2154
SAAA13909	2155
SAAA14066	2156
SAAA14247	2157
SAAA14261	2158
SAAA14425	2159
SAAA14435	2160
SAAA14521	2161
SAAA14523	2162
SAAA14818	2163
SAAA14819	2164
SAAA14824	2165
SAAA14955	2166
SAAA15213	2167
SAAA15214	2168
SAAA15349	2169
SAAA15442	2170
SAAA15734	2171
SAAA15973	2172
SAAA15975	2173
SAAA16162	2174
SAAA16271	2175
SAAA16419	2176
SAAA16623	2177
SAAA16672	2178
SAAA16790	2179
SAAA16844	2180
SAAA16961	2181
SAAA16963	2182
SAAA16970	2183
SAAA17043	2184
SAAA17197	2185
SAAA17434	2186
SAAA17452	2187
SAAA17514	2188
SAAA17698	2189
SAAA17755	2190
SAAA17878	2191
SAAA18026	2192
SAAA18108	2193
SAAA18121	2194
SAAA18133	2195
SAAA18179	2196
SAAA18217	2197
SAAA18225	2198
SAAA18251	2199
SAAA18252	2200
SAAA18274	2201
SAAA18291	2202
SAAA18318	2203
SAAA18330	2204
SAAA18383	2205
SAAA18399	2206
SAAA18652	2207
SAAA18709	2208
SAAA18715	2209
SAAA18716	2210
SAAA18794	2211
SAAA18804	2212
SAAA18805	2213
SAAA18949	2214
SAAA18977	2215
SAAA19083	2216
SAAA19171	2217
SAAA19174	2218
SAAA19183	2219
SAAA19185	2220
SAAA19201	2221
SAAA19213	2222
SAAA19217	2223
SAAA19243	2224
SAAA19246	2225
SAAA19253	2226
SAAA19367	2227
SAAA4394	2228
SAAA8906	2229
SKDAA0903	2230
SKDAA10065	2231
SKDAA10142	2232
SKDAA10428	2233
SKDAA10432	2234
SKDAA10457	2235
SKDAA10458	2236
SKDAA10533	2237
SKDAA10577	2238
SKDAA10681	2239
SKDAA11062	2240
SKDAA11088	2241
SKDAA11318	2242
SKDAA11377	2243
SKDAA11630	2244
SKDAA11664	2245
SKDAA11671	2246
SKDAA11783	2247
SKDAA11905	2248
SKDAA11915	2249
SKDAA11916	2250
SKDAA11924	2251
SKDAA11976	2252
SKDAA12092	2253
SKDAA12306	2254
SKDAA12456	2255
SKDAA12489	2256
SKDAA12523	2257
SKDAA9053	2258
SKDAA9096	2259
SKDAA9151	2260
SKDAA9343	2261
SKDAA9372	2262
SKDAA9850	2263
CCAA1789	2264
CCAA1809	2265
CCAA1817	2266
CCAA1933	2267
CCAA2005	2268
CCAA2012	2269
