sku,position
SAAK17396,0
SAAK17409,0
SAAK17410,0
SAAK17422,0
SAAK17454,0
SAAK17481,0
SAAK17483,0
SAAK17463,0
SAAK17470,0
SAAK17495,0
SAAK17491,0
SAAK17487,0
SAAK17492,0
SAAK17573,0
SAAK17606,0
SAAK17615,0
SAAK17556,0
SAAK17560,0
SAAK17569,0
SAAK17621,0
SAAA27753,0
SAAC4253,0
SAAD5272,0
SAAK17762,0
SAAK17760,0
SAAK17701,0
SAAK17704,0
SAAK17706,0
SAAK17719,0
SAAK17725,0
SAAK17893,0
SAAK17895,0
SAAK18049,0
SAAK17919,0
SAAK18090,0
SAAK17997,0
SAAK17998,0
SAAK18095,0
SAAK18096,0
SAAK18132,0
SAAK18146,0
SAAK18144,0
SAAK18176,0
SAAK18181,0
SAAK18211,0
SAAK18221,0
SAAK18235,0
SAAK18242,0
SAAK18237,0
SAAK18262,0
SAAK18271,0
SAAK18280,0
SAAK18254,0
SAAK18259,0
