sku,position
SKDAK5809,0
SKDAK5813,0
SKDAK5832,0
SKDAK5838,0
SKDAK5839,0
SKDAK5854,0
SKDAK5888,0
SKDAK5905,0
SKDAK5898,0
SKDAK5922,0
SKDAK5912,0
SKDAK5913,0
SKDAK5914,0
SKDAK5915,0
SKDAK5916,0
SKDAK5917,0
SKDAK5937,0
SKDAK5938,0
SKDAK5939,0
SKDAK5940,0
SKDAK5941,0
SKDAK5942,0
SKDAK5943,0
SKDAK5944,0
SKDAK5945,0
SKDAK5946,0
SKDAK5924,0
SKDAK5956,0
SKDAK6004,0
SKDAK6005,0
SKDAK6007,0
SKDAK6029,0
SKDAK6008,0
SKDAK6009,0
SKDAK6055,0
SKDAK6047,0
SKDAK6067,0
SKDAK6068,0
SKDAK6071,0
SKDAK6099,0
SKDAK6100,0
SKDAK6101,0
SKDAK6102,0
SKDAK6103,0
SKDAK6104,0
SKDAK6105,0
SKDAK6106,0
SKDAK6107,0
