sku,position,,,,,,,
SAAA24163,1,,,,,,,
SAAA29979,2,,,,,,,
SAAD4807,3,,,,,,,
SAAA24169,4,,,,,,,
SAAA24160,5,,,,,,,
CCAC1505,6,,,,,,,
SAAA24171,7,,,,,,,
SAAA24161,8,,,,,,,
SAAC3970,9,,,,,,,
SAAA5698,10,,,,,,,
SAAD6745,11,,,,,,,
SKDAA17397,12,,,,,,,
SAAD6071,13,,,,,,,
SAAD6006,14,,,,,,,
PSAAD4928,15,,,,,,,
SAAA21463,16,,,,,,,
SAAD4810,17,,,,,,,
SAAA29974,18,,,,,,,
SAAD5272,19,,,,,,,
SAAA29976,20,,,,,,,
SAAD4854,21,,,,,,,
SAAD6244,22,,,,,,,
SAAD6748,23,,,,,,,
SAAD6105,24,,,,,,,
SKDAC1583,25,,,,,,,
SKDAA17111,26,,,,,,,
SAAD4847,27,,,,,,,
SAAD4808,28,,,,,,,
SAAD6067,29,,,,,,,
SAAD5269,30,,,,,,,
SAAA29973,31,,,,,,,
CCAA4113,32,,,,,,,
SKDAA16707,33,,,,,,,
SKDAD1772,34,,,,,,,
SAAE7523,35,,,,,,,
SKDAD1730,36,,,,,,,
SAAA29977,37,,,,,,,
SAAA29968,38,,,,,,,
SKDAC1551,39,,,,,,,
SAAA24172,40,,,,,,,
SAAC4115,41,,,,,,,
SKDAE2052,42,,,,,,,
SAAB1485,43,,,,,,,
SKDAE2024,44,,,,,,,
SAAD4752,45,,,,,,,
CCAA3986,46,,,,,,,
SAAD5481,47,,,,,,,
CCAC1212,48,,,,,,,
SKDAE1945,49,,,,,,,
GWAD1023,50,,,,,,,
SKDAD1862,51,,,,,,,
SKDAA17082,52,,,,,,,
SAAA29392,53,,,,,,,
SAAD5275,54,,,,,,,
SAAA29167,55,,,,,,,
GWAD1020,56,,,,,,,
SAAD6062,57,,,,,,,
SAAE7704,58,,,,,,,
SKDAA16140,59,,,,,,,
SAAD4812,60,,,,,,,
SKDAD1909,61,,,,,,,
CCAC1398,62,,,,,,,
SAAE7268,63,,,,,,,
CCAC1499,64,,,,,,,
SKDAA17606,65,,,,,,,
SKDAD1919,66,,,,,,,
SAAD4866,67,,,,,,,
SAAD6394,68,,,,,,,
SKDAE2126,69,,,,,,,
SKDAB1301,70,,,,,,,
SAAA21462,71,,,,,,,
SAAD4805,72,,,,,,,
CCAA3931,73,,,,,,,
SKDAA17611,74,,,,,,,
SAAD6060,75,,,,,,,
SAAC3965,76,,,,,,,
SKDAA17680,77,,,,,,,
SAAD4660,78,,,,,,,
CCAA1757,79,,,,,,,
SAAA29397,80,,,,,,,
SKDAD1914,81,,,,,,,
SAAC4257,82,,,,,,,
SAAA29964,83,,,,,,,
SKDAB1250,84,,,,,,,
SKDAD1820,85,,,,,,,
SAAA29391,86,,,,,,,
SAAD4815,87,,,,,,,
PSAAD4932,88,,,,,,,
SAAD5270,89,,,,,,,
SAAA29978,90,,,,,,,
CCAA3856,91,,,,,,,
SAAD6066,92,,,,,,,
PSKDAD1790,93,,,,,,,
SAAC3962,94,,,,,,,
SAAB1739,95,,,,,,,
CCAA4066,96,,,,,,,
SKDAC1585,97,,,,,,,
SAAC3918,98,,,,,,,
SAAD4678,99,,,,,,,
SAAC3460,100,,,,,,,
SAAD5486,101,,,,,,,
CCAC1500,102,,,,,,,
CCAA4026,103,,,,,,,
SAAE7517,104,,,,,,,
SAAE7703,105,,,,,,,
SAAD6134,106,,,,,,,
SKDAA16704,107,,,,,,,
SAAD6248,108,,,,,,,
SAAA29967,109,,,,,,,
SAAD5483,110,,,,,,,
CCAA3438,111,,,,,,,
CCAA4029,112,,,,,,,
PSAAA28587,113,,,,,,,
SAAD5712,114,,,,,,,
SAAD4806,115,,,,,,,
SAAC3463,116,,,,,,,
SAAD6128,117,,,,,,,
GWAD1021,118,,,,,,,
SAAC3206,119,,,,,,,
SAAA29850,120,,,,,,,
SAAA29972,121,,,,,,,
SKDAC1525,122,,,,,,,
SAAA29985,123,,,,,,,
SAAD4747,124,,,,,,,
SAAA22544,125,,,,,,,
SAAA29981,126,,,,,,,
SAAD4839,127,,,,,,,
SAAD6192,128,,,,,,,
SAAE7316,129,,,,,,,
SKDAA16141,130,,,,,,,
SAAD6132,131,,,,,,,
SKDAA17608,132,,,,,,,
SKDAE2028,133,,,,,,,
SKDAA17431,134,,,,,,,
SKDAC1421,135,,,,,,,
SAAA24165,136,,,,,,,
SAAC3587,137,,,,,,,
SAAD4860,138,,,,,,,
GWAD1019,139,,,,,,,
SAAD6073,140,,,,,,,
SKDAC1579,141,,,,,,,
SAAD6069,142,,,,,,,
CCAA3144,143,,,,,,,
CCAA2378,144,,,,,,,
CCAC1396,145,,,,,,,
SAAD5475,146,,,,,,,
SAAD6395,147,,,,,,,
SKDAA17607,148,,,,,,,
CCAC1444,149,,,,,,,
SAAA22658,150,,,,,,,
SKDAC1526,151,,,,,,,
CCAA3308,152,,,,,,,
KRTAA0020,153,,,,,,,
SAAA29849,154,,,,,,,
SAAD5477,155,,,,,,,
CCAA3141,156,,,,,,,
SAAA27380,157,,,,,,,
SAAA29393,158,,,,,,,
SAAC3911,159,,,,,,,
SKDAD1917,160,,,,,,,
SKDAA17544,161,,,,,,,
SAAD5274,162,,,,,,,
SKDAC1628,163,,,,,,,
SKDAD1819,164,,,,,,,
CCAC1218,165,,,,,,,
SAAA24162,166,,,,,,,
SKDAB1254,167,,,,,,,
SAAA21186,168,,,,,,,
SAAA29970,169,,,,,,,
CCAA4079,170,,,,,,,
PSAAA26198,171,,,,,,,
SAAABL069,172,,,,,,,
SKDAA10301,173,,,,,,,
CCAA3983,174,,,,,,,
CCAA3987,175,,,,,,,
PSAAC2733,176,,,,,,,
SAAC3968,177,,,,,,,
SAAD6387,178,,,,,,,
SAAA29629,179,,,,,,,
SAAA29975,180,,,,,,,
SKDAE2049,181,,,,,,,
SKDAE2130,182,,,,,,,
PSAAD5143,183,,,,,,,
SAAA29389,184,,,,,,,
