sku,position
SKDAA9726,1
SAAA5698,2
CCAA2875,3
SAAA20571,4
SAAA12815,5
SAAA24160,6
SAAA19740,7
SAAA20258,8
SAAA24169,9
SKDAA14246,10
SAAA24163,11
SAAA21879,12
SAAA23551,13
SAAA13320,14
SKDAA14362,15
CCAA3121,16
CCAA3142,17
SKDAA14121,18
SAAA16310,19
GWAA0302,20
SAAA21587,21
SAAA22651,22
CCAA2330,23
SKDAA14364,24
CCAA3122,25
SAAA24168,26
SKDAA14019,27
CCAA2365,28
CCAA3123,29
SAAA19742,30
CCAA3159,31
SAAA24161,32
GWAA0372,33
SKDAA14117,34
CCAA2245,35
SAAA24170,36
SAAA20662,37
CCAA3144,38
CCAA3124,39
SAAA24166,40
SAAA19738,41
SKDAA14113,42
CCAA3295,43
SAAA21187,44
CCAA2265,45
SKDAA14011,46
CCAA2865,47
SAAA24167,48
SKDAA13149,49
SKDAA13093,50
SAAA24162,51
SAAA19672,52
SAAA24097,53
CCAA3135,54
SAAA17834,55
SAAA24090,56
SAAA12827,57
SAAA20324,58
SAAA21178,59
CCAA2054,60
SAAA24531,61
SAAA20648,62
SAAA19673,63
SKDAA14009,64
SAAA19692,65
SKDAA13883,66
CCAA2592,67
SKDAA14368,68
KRTAA0332,69
SAAA21452,70
CCAA1759,71
CCAA1758,72
CCAA2364,73
CCAA3254,74
SAAA23711,75
CCAA2496,76
SAAA22546,77
SKDAA14555,78
SAAA20661,79
CCAA3141,80
SAAA24173,81
SKDAA11947,82
SAAA24172,83
SAAA12832,84
CCAA2368,85
CCAA2273,86
SAAA11511,87
SAAA21463,88
SKDAA14564,89
CCAA3127,90
SKDAA13972,91
SAAA20642,92
SAAA24165,93
CCAA2495,94
SAAA22656,95
SAAA21459,96
SKDAA13503,97
SKDAA14373,98
SKDAA14014,99
SKDAA14336,100
CCAA3280,101
SAAA24580,102
SKDAA12308,103
CCAA3137,104
SAAA19743,105
CCAA2873,106
SKDAA11946,107
SKDAA14332,108
SKDAA14120,109
SKDAA14016,110
KRTAA0008,111
SKDAA14189,112
CCAA2251,113
SKDAA13102,114
SKDAA13200,115
CCAA2689,116
CCAA2281,117
CCAA2291,118
SAAA24171,119
SKDAA13583,120
CCAA2494,121
CCAA2246,122
SAAA24543,123
SAAA23554,124
CCAA3160,125
CCAA3155,126
SAAA24164,127
SAAA3091,128
CCAA3294,129
SKDAA13507,130
CCAA3293,131
SAAA20658,132
SAAA24570,133
KIDSAA0014,134
SKDAA14018,135
CCAA2718,136
SKDAA13155,137
SAAA20921,138
SKDAA14565,139
SAAA13317,140
SAAA19689,141
SAAA23573,142
CCAA2869,143
SAAA20271,144
SKDAA12033,145
SAAA21180,146
SAAA22406,147
SAAA21881,148
SAAA22655,149
SAAA13318,150
SAAA19739,151
SKDAA14640,152
SAAA24111,153
SAAA20777,154
SAAA19468,155
SAAA20650,156
SKDAA12310,157
SAAA24108,158
SKDAA12672,159
SAAA21542,160
SAAA20763,161
SAAA21186,162
SAAA20328,163
SAAA24919,164
SAAA22658,165
SKDAA14777,166
SAAA23813,167
SAAA21085,168
SAAA4394,169
CCAA2357,170
SKDAA12031,171
CCAA3239,172
SAAA17700,173
SKDAA12916,174
SAAA23574,175
SKDAA11628,176
SKDAA14251,177
SAAA16318,178
SAAA23775,179
SKDAA13199,180
SAAA20325,181
SKDAA14372,182
CCAA2176,183
SAAA13315,184
SAAA20260,185
SAAA20641,186
GWAA0368,187
GWAA0371,188
SKDAA14371,189
SAAA18696,190
CCAA2254,191
CCAA2288,192
CCAA2868,193
SAAA20272,194
SKDAA14343,195
SAAA18789,196
SAAA18531,197
SKDAA14180,198
SKDAA14238,199
SAAA20659,200
SKDAA14844,201
KRTAA0282,202
SKDAA14408,203
SAAA24107,204
SKDAA5073,205
SAAA24836,206
KRTAA0020,207
SAAA18378,208
SAAA18249,209
SAAA18234,210
SKDAA13026,211
SAAA19667,212
ACAA664,213
CCAA2909,214
SAAA12822,215
SAAA20925,216
SAAA20996,217
SKDAA14652,218
CCAA3243,219
SAAA12839,220
SKDAA14183,221
SAAA15649,222
SKDAA14622,223
CCAA2500,224
ACAA720,225
SAAA24087,226
SAAA22866,227
SKDAA14008,228
CCAA2501,229
SAAA16812,230
SAAA23780,231
SKDAA14015,232
SAAA19746,233
SAAA20651,234
SKDAA14726,235
SAAA14348,236
SKDAA12695,237
SKDAA11662,238
CCAA3143,239
SKDAA14250,240
