sku,position
SKDAA15346,5191
SKDAA15347,5192
SKDAA15352,5193
SKDAA15356,5194
SKDAA15367,5195
SKDAA15375,5196
SKDAA15386,5197
SKDAA15393,5198
SKDAA15394,5199
SKDAA15395,5200
SKDAA15397,5201
SKDAA15422,5202
SKDAA15429,5203
SKDAA15437,5204
SKDAA7082,5205
SKDAA7088,5206
SKDAA8744,5207
SKDAA8749,5208
SKDAA9082,5209
ACAA0046,5210
ACAA0048,5211
ACAA0056,5212
ACAA0081,5213
ACAA0082,5214
ACAA0088,5215
ACAA0089,5216
ACAA0091,5217
ACAA0093,5218
ACAA0170,5219
ACAA0171,5220
ACAA0195,5221
ACAA0207,5222
ACAA0218,5223
ACAA0222,5224
ACAA1007,5225
ACAA1011,5226
ACAA1016,5227
ACAA1018,5228
ACAA1021,5229
ACAA1024,5230
ACAA1028,5231
ACAA1030,5232
ACAA1034,5233
ACAA1039,5234
ACAA1043,5235
ACAA1044,5236
ACAA1048,5237
ACAA1077,5238
ACAA1080,5239
ACAA1081,5240
ACAA1083,5241
ACAA1090,5242
ACAA1092,5243
ACAA1181,5244
ACAA1183,5245
ACAA1201,5246
ACAA626,5247
ACAA633,5248
ACAA634,5249
ACAA637,5250
ACAA649,5251
ACAA670,5252
ACAA673,5253
ACAA679,5254
ACAA699,5255
ACAA705,5256
ACAA712,5257
ACAA713,5258
ACAA714,5259
ACAA715,5260
ACAA719,5261
ACAA721,5262
ACAA722,5263
ACAA724,5264
ACAA726,5265
ACAA729,5266
ACAA731,5267
ACAA734,5268
ACAA741,5269
ACAA744,5270
ACAA750,5271
ACAA762,5272
ACAA767,5273
ACAA769,5274
ACAA774,5275
ACAA775,5276
ACAA777,5277
ACAA783,5278
ACAA784,5279
ACAA785,5280
ACAA789,5281
ACAA809,5282
ACAA819,5283
ACAA823,5284
ACAA827,5285
ACAA865,5286
ACAA869,5287
ACAA870,5288
ACAA873,5289
ACAA877,5290
ACAA893,5291
ACAA899,5292
ACAA903,5293
ACAA904,5294
ACAA906,5295
ACAA926,5296
ACAA929,5297
ACAA932,5298
ACAA934,5299
ACAA935,5300
ACAA936,5301
ACAA946,5302
ACAA947,5303
ACAA950,5304
ACAA952,5305
ACAA953,5306
BLA0243,5307
BLA0244,5308
CCAA0012,5309
CCAA0026,5310
CCAA0035,5311
CCAA2006,5312
CCAA2015,5313
CCAA2016,5314
CCAA2017,5315
CCAA2019,5316
CCAA2022,5317
CCAA2260,5318
CCAA2332,5319
CCAA2336,5320
CCAA2375,5321
CCAA2381,5322
CCAA2498,5323
CCAA2499,5324
CCAA2591,5325
CCAA2642,5326
CCAA2643,5327
CCAA2715,5328
CCAA2716,5329
CCAA2805,5330
CCAA2897,5331
CCAA2902,5332
CCAA2987,5333
CCAA2990,5334
CCAA3004,5335
CCAA3009,5336
CCAA3010,5337
CCAA3030,5338
CCAA3032,5339
CCAA3040,5340
CCAA3045,5341
CCAA3055,5342
CCAA3061,5343
CCAA3074,5344
CCAA3093,5345
CCAA3117,5346
CCAA3221,5347
CCAA3230,5348
CCAA3320,5349
CCAA3324,5350
CCAA3327,5351
CCAA3329,5352
CCAA3330,5353
CCAA3357,5354
CCAA3359,5355
CCAA3391,5356
CCAA3393,5357
CCAA3417,5358
CCAA3430,5359
CCAA3434,5360
CCAA3468,5361
CMBOF0006,5362
CMBOF0012,5363
CMBOF0014,5364
CMBOF0015,5365
CMBOF0017,5366
GWAA0087,5367
GWAA0316,5368
GWAA0322,5369
GWAA0325,5370
GWAA0327,5371
GWAA0385,5372
GWAA0386,5373
GWAA0387,5374
GWAA0389,5375
GWAA0400,5376
GWAA0402,5377
GWAA0405,5378
GWAA0406,5379
KIDSAA0012,5380
KIDSAA0029,5381
KIDSAA0037,5382
KIDSAA0039,5383
KIDSAA0045,5384
KIDSAA0046,5385
KIDSAA0047,5386
KIDSAA0062,5387
KIDSAA0064,5388
KIDSAA0065,5389
KIDSAA0067,5390
KIDSAA0075,5391
KIDSAA0083,5392
KIDSAA0086,5393
KIDSAA0091,5394
KIDSAA0095,5395
KIDSAA0099,5396
KIDSAA0105,5397
KIDSAA0117,5398
KIDSAA0118,5399
KRTAA0311,5400
KRTAA0313,5401
KRTAA0317,5402
KRTAA0323,5403
KRTAA0334,5404
KRTAA0338,5405
LCAA,5406
MN0061,5407
MNSAA0001,5408
MNSAA0004,5409
MNSAA0020,5410
MNSAA0025,5411
MNSAA0027,5412
MNSAA0031,5413
MNSAA0037,5414
MNSAA0044,5415
MNSAA0053,5416
MNSAA0056,5417
MNSAA0057,5418
MNSAA0068,5419
MNSAA0076,5420
MNSAA0102,5421
MNSAA0108,5422
PAAA26332,5423
PCCAA3473,5424
PCCAA3487,5425
PCCAA3515,5426
PCCAA3591,5427
PCCAA3623,5428
PCCAA3625,5429
PCCAA3629,5430
PMNS0003,5431
PMNS0006,5432
PMNS0009,5433
PMNS0011,5434
PMNS0013,5435
PMNS0019,5436
PMNS0027,5437
PMNS0033,5438
PMNS0036,5439
PSAAA25537,5440
PSAAA25757,5441
PSAAA25759,5442
PSAAA25760,5443
PSAAA25766,5444
PSAAA25767,5445
PSAAA25768,5446
PSAAA25789,5447
PSAAA25793,5448
PSAAA25795,5449
PSAAA25802,5450
PSAAA25832,5451
PSAAA25833,5452
PSAAA25839,5453
PSAAA25861,5454
PSAAA25936,5455
PSAAA25964,5456
PSAAA25974,5457
PSAAA25978,5458
PSAAA25991,5459
PSAAA26014,5460
PSAAA26016,5461
PSAAA26041,5462
PSAAA26156,5463
PSAAA26186,5464
PSAAA26225,5465
PSAAA26226,5466
PSAAA26230,5467
PSAAA26236,5468
PSAAA26237,5469
PSAAA26242,5470
PSAAA26250,5471
PSAAA26253,5472
PSAAA26254,5473
PSAAA26276,5474
PSAAA26281,5475
PSAAA26291,5476
PSAAA26294,5477
PSAAA26296,5478
PSAAA26297,5479
PSAAA26321,5480
PSAAA26337,5481
PSAAA26414,5482
PSAAA26425,5483
PSAAA26430,5484
PSAAA26432,5485
PSAAA26433,5486
PSAAA26436,5487
PSAAA26438,5488
PSAAA26441,5489
PSAAA26447,5490
PSAAA26458,5491
PSAAA26466,5492
PSAAA26493,5493
PSAAA26494,5494
PSAAA26514,5495
PSAAA26683,5496
PSAAA26689,5497
PSAAA26691,5498
PSAAA26695,5499
PSAAA26696,5500
PSAAA26713,5501
SAAA0019,5502
SAAA0038,5503
SAAA13909,5504
SAAA13916,5505
SAAA13920,5506
SAAA13921,5507
SAAA13922,5508
SAAA13927,5509
SAAA13929,5510
SAAA13931,5511
SAAA14050,5512
SAAA14053,5513
SAAA14057,5514
SAAA14058,5515
SAAA14068,5516
SAAA14229,5517
SAAA14255,5518
SAAA14313,5519
SAAA14318,5520
SAAA14319,5521
SAAA14324,5522
SAAA15969,5523
SAAA15972,5524
SAAA16635,5525
SAAA16705,5526
SAAA16715,5527
SAAA16802,5528
SAAA16808,5529
SAAA16861,5530
SAAA16867,5531
SAAA16868,5532
SAAA16950,5533
SAAA16953,5534
SAAA16966,5535
SAAA16980,5536
SAAA17323,5537
SAAA17324,5538
SAAA17327,5539
SAAA17330,5540
SAAA17332,5541
SAAA17333,5542
SAAA17388,5543
SAAA17400,5544
SAAA17491,5545
SAAA17506,5546
SAAA17631,5547
SAAA17740,5548
SAAA17795,5549
SAAA17858,5550
SAAA17887,5551
SAAA17923,5552
SAAA17951,5553
SAAA17955,5554
SAAA17960,5555
SAAA17967,5556
SAAA17982,5557
SAAA17983,5558
SAAA17984,5559
SAAA17986,5560
SAAA17987,5561
SAAA18101,5562
SAAA18102,5563
SAAA18108,5564
SAAA18109,5565
SAAA18111,5566
SAAA18211,5567
SAAA18212,5568
SAAA18217,5569
SAAA18219,5570
SAAA18221,5571
SAAA18284,5572
SAAA18291,5573
SAAA18301,5574
SAAA18302,5575
SAAA18304,5576
SAAA18308,5577
SAAA18376,5578
SAAA18379,5579
SAAA18382,5580
SAAA18385,5581
SAAA18386,5582
SAAA18480,5583
SAAA18603,5584
SAAA18604,5585
SAAA18645,5586
SAAA18679,5587
SAAA18686,5588
SAAA18687,5589
SAAA18689,5590
SAAA18690,5591
SAAA18697,5592
SAAA18794,5593
SAAA18951,5594
SAAA18963,5595
SAAA18968,5596
SAAA18996,5597
SAAA18999,5598
SAAA19031,5599
SAAA19051,5600
SAAA19057,5601
SAAA19083,5602
SAAA19157,5603
SAAA19163,5604
SAAA19247,5605
SAAA19248,5606
SAAA19249,5607
SAAA19319,5608
SAAA19325,5609
SAAA19331,5610
SAAA19376,5611
SAAA19434,5612
SAAA19455,5613
SAAA19462,5614
SAAA19463,5615
SAAA19469,5616
SAAA19470,5617
SAAA19476,5618
SAAA19478,5619
SAAA19482,5620
SAAA19486,5621
SAAA19657,5622
SAAA19660,5623
SAAA19661,5624
SAAA19662,5625
SAAA19875,5626
SAAA19881,5627
SAAA19883,5628
SAAA20010,5629
SAAA20085,5630
SAAA20114,5631
SAAA20121,5632
SAAA20181,5633
SAAA20196,5634
SAAA20197,5635
SAAA20200,5636
SAAA20284,5637
SAAA20291,5638
SAAA20359,5639
SAAA20368,5640
SAAA20385,5641
SAAA20389,5642
SAAA20409,5643
SAAA20412,5644
SAAA20413,5645
SAAA20416,5646
SAAA20417,5647
SAAA20424,5648
SAAA20427,5649
SAAA20438,5650
SAAA20442,5651
SAAA20499,5652
SAAA20500,5653
SAAA20501,5654
SAAA20513,5655
SAAA20524,5656
SAAA20532,5657
SAAA20533,5658
SAAA20537,5659
SAAA20538,5660
SAAA20541,5661
SAAA20550,5662
SAAA20613,5663
SAAA20614,5664
SAAA20716,5665
SAAA20729,5666
SAAA20730,5667
SAAA20765,5668
SAAA20773,5669
SAAA20798,5670
