sku,position
SAAA29979,1
SAAA24169,2
SAAG11337,3
SKDAH3898,4
SAAA24163,5
SAAA24170,6
SAAG11331,7
SAAG11325,8
CCAI2387,9
CCAI2508,10
CCAI2402,11
SKDAI4610,12
CCAI2435,13
SAAH11863,14
SKDAG3318,15
SAAJ15532,16
SKDAI4389,17
SKDAH3900,18
SKDAI4326,19
SAAE7704,20
SAAH12256,21
SKDAI4449,22
SAAA24160,23
CCAG1944,24
SAAF9274,25
PSAAI13413,26
SAAG11336,27
SAAJ15216,28
CCAI2388,29
PGWAF1124,30
SAAA29965,31
SKDAG3320,32
SAAA29392,33
SAAJ15080,34
CCAI2231,35
SKDAJ4875,36
SAAJ15063,37
CCAI2433,38
SKDAH3938,39
SKDAI4346,40
SAAG10833,41
SAAA24172,42
CCAI2436,43
CCAI2439,44
SKDAI4344,45
SKDAH3942,46
SKDAH3759,47
SAAD6748,48
SKDAH3897,49
SKDAI4404,50
SKDAG3433,51
PCCAI2366,52
GWAI1190,53
CCAC1223,54
SAAJ15079,55
SAAD4807,56
CCAG1941,57
PSAAI13046,58
SAAJ15067,59
CCAI2292,60
SKDAF2819,61
CCAI2434,62
SKDAI4387,63
SKDAF2940,64
SAAC3970,65
SKDAJ5101,66
SAAH11864,67
SKDAH3803,68
SKDAI4348,69
SKDAJ5080,70
CCAI2207,71
CCAI2432,72
SKDAI4594,73
CCAI2229,74
SAAG11335,75
SAAA29974,76
SKDAH3820,77
SKDAI4409,78
CCAG1949,79
SAAA5698,80
SAAG11323,81
CCAI2424,82
SKDAI4528,83
PSAAI13039,84
SKDAI4091,85
SKDAI4285,86
SAAD6745,87
SAAJ15510,88
SKDAI4340,89
SAAJ15073,90
SAAC3962,91
GWAI1171,92
CCAI2411,93
SAAG11326,94
SKDAH3919,95
SKDAJ5010,96
CCAI2226,97
SAAI13112,98
SKDAF3127,99
CCAI2441,100
SAAH11862,101
CCAH2164,102
PSAAI12746,103
SKDAH3790,104
SAAI13329,105
SAAD6069,106
SAAH12265,107
SKDAH3761,108
SAAE7703,109
SAAA24165,110
SKDAI4411,111
SKDAI4690,112
SKDAI4229,113
SKDAH3788,114
SAAG11328,115
SAAF9323,116
SAAJ15064,117
SKDAH3967,118
KRTAI1670,119
SKDAF2943,120
SKDAH3818,121
SKDAH3916,122
SKDAI4280,123
CCAI2304,124
SKDAH3758,125
SKDAI4611,126
SKDAJ5097,127
SAAG11333,128
SKDAI4343,129
SAAJ15225,130
SKDAI4692,131
CCAI2230,132
CCAI2430,133
SAAJ14691,134
SKDAH3760,135
SAAJ15226,136
PSAAI13061,137
SKDAE2132,138
SKDAF2942,139
SKDAH3800,140
SAAE7583,141
SAAJ15070,142
SKDAI4359,143
SAAJ14894,144
CCAI2395,145
SKDAJ4990,146
SAAJ14611,147
CCAH2154,148
SAAI13474,149
CCAI2419,150
SKDAG3602,151
SAAD4866,152
SAAD6105,153
CCAI2367,154
CCAC1400,155
SKDAH3721,156
SAAF9875,157
SKDAA14841,158
SAAA29397,159
SAAI14111,160
CCAG2020,161
CCAI2406,162
PSKDAA16982,163
SKDAI4197,164
CCAI2385,165
SAAF9318,166
CCAH2151,167
PSAAI13071,168
SKDAC1547,169
CCAI2400,170
PSAAI12748,171
SAAE8333,172
SKDAJ4777,173
CCAI2294,174
SKDAH3802,175
SAAA29969,176
SKDAI4321,177
SKDAI4342,178
PSKDAA15795,179
SAAJ15069,180
SKDAI4303,181
SKDAI4345,182
SKDAI4592,183
PCCAI2346,184
SAAG10837,185
PSAAI13051,186
SAAD4805,187
SKDAI4407,188
SKDAI4644,189
CCAI2504,190
SAAF9763,191
SAAH11934,192
SKDAF3161,193
SKDAJ5009,194
SAAH12415,195
PSAAE7150,196
SAAI13385,197
SAAA29967,198
SKDAA16931,199
SKDAI4281,200
SAAE8123,201
SKDAI4651,202
SKDAF2820,203
SAAI13962,204
SAAG11322,205
SAAH12259,206
SKDAI4727,207
CCAH2153,208
PSAAF9764,209
SKDAI4353,210
SKDAI4444,211
PSAAI13416,212
SKDAI4293,213
SAAH11855,214
SAAG11334,215
SAAJ15343,216
CCAI2426,217
SKDAI4408,218
PSAAH11602,219
PSAAI12914,220
SAAA26656,221
CCAI2401,222
PCCAG1983,223
PSAAI12832,224
SAAI13479,225
PSAAH12333,226
SAAG10827,227
CCAF1872,228
CCAG1940,229
PSAAI13047,230
SAAA29978,231
