sku,position
RGWAA0126,755
RGWAA0182,76
RKRTAI1825,40
RKRTAI1826,134
RKRTAI1827,390
RKRTAK2253,346
RKRTAN3075,491
RPSAAC3256,198
RPSAAI13050,122
RPSAAI13051,456
RSAAA10000,922
RSAAA11980,426
RSAAA12690,211
RSAAA12702,675
RSAAA14298,459
RSAAA15363,416
RSAAA15502,738
RSAAA15650,54
RSAAA15718,442
RSAAA16350,537
RSAAA17582,833
RSAAA17967,243
RSAAA18220,375
RSAAA18250,207
RSAAA18278,485
RSAAA18480,365
RSAAA18736,609
RSAAA20466,443
RSAAA21557,427
RSAAA21618,466
RSAAA23512,239
RSAAA2394,430
RSAAA24546,801
RSAAA24596,456
RSAAA24826,949
RSAAA24839,816
RSAAA24948,528
RSAAA24948,584
RSAAA24949,872
RSAAA25265,245
RSAAA25441,385
RSAAA25443,143
RSAAA25637,394
RSAAA26850,116
RSAAA27366,765
RSAAA27368,836
RSAAA27369,715
RSAAA27372,142
RSAAA27380,652
RSAAA27753,576
RSAAA27914,491
RSAAA28885,65
RSAAA29850,364
RSAAA4104,163
RSAAA6462,756
RSAAB1416,744
RSAAD6117,941
RSAAE7616,237
RSAAF10009,530
RSAAF9325,66
RSAAI13815,509
RSAAI13815,493
RSAAI13815,682
RSAAJ15721,902
RSAAJ15722,467
RSKDAA0682,140
RSKDAA0682,301
RSKDAA0682,79
RSKDAA10315,506
RSKDAA10689,826
RSKDAA12734,860
RSKDAA13054,730
RSKDAA13093,239
RSKDAA13152,310
RSKDAA13239,439
RSKDAA13429,203
RSKDAA13465,226
RSKDAA13468,374
RSKDAA13655,622
RSKDAA14052,30
RSKDAA14544,669
RSKDAA14744,584
RSKDAA1487,538
RSKDAA15004,299
RSKDAA15137,140
RSKDAA15466,495
RSKDAA16135,679
RSKDAA1722,469
RSKDAA2833,863
RSKDAA3153,223
RSKDAA3967,953
RSKDAA6148,815
RSKDAA8309,90
RSKDAA8888,666
RSKDAA9004,215
RSKDAA9021,681
RSKDAA9045,370
RSKDAA9219,689
RSKDAA9817,599
RSKDAK5482,110
RSKDAK5785,76
RSKDAL6472,184
RSKDAL6667,500
RSKDAL6670,792
RCCAA1754,282
RCCAA2059,413
RCCAA2357,63
RCCAA4089,761
RCCAB1161,58
RCCAB1163,246
RCCAC1219,880
RCCAE1743,361
RCCAF1802,83
RCCAH2151,272
RCCAI2387,993
RCCAI2401,88
RCCAK2690,893
RCCAK2691,260
RCCAK2692,559
RCCAN3151,600
RSAAA19873,271
RSAAA19876,507
RSAAA21186,332
RSAAA21462,206
RSAAA24157,510
RSAAA24786,820
RSAAA27375,654
RSAAA29395,211
RSAAA29397,754
RSAAA29964,474
RSAAB1109,946
RSAAB1742,564
RSAAC3206,176
RSAAC3211,148
RSAAD5671,571
RSAAD6128,668
RSAAD6134,187
RSAAE7384,940
RSAAE7840,749
RSAAE8080,734
RSAAE8115,668
RSAAF9794,151
RSAAF9845,917
RSAAG10532,676
RSAAG10837,503
RSAAG11104,906
RSAAG11327,549
RSAAG11330,322
RSAAH12044,566
RSAAH12249,604
RSAAI12859,241
RSAAI13171,728
RSAAI13352,712
RSAAI13354,416
RSAAI13371,956
RSAAI13856,217
RSAAJ14158,865
RSAAJ14271,749
RSAAJ14462,286
RSAAJ14501,284
RSAAJ14905,792
RSAAJ15142,605
RSAAJ15548,170
RSAAJ16061,423
RSAAJ16170,127
RSAAJ16499,641
RSAAJ16655,81
RSAAK17128,810
RSAAK17213,765
RSAAN23498,333
RSKDAA11481,45
RSKDAA13150,576
RSKDAA14032,40
RSKDAA14164,739
RSKDAA14547,279
RSKDAA14637,702
RSKDAA15040,683
RSKDAA16140,549
RSKDAA16929,43
RSKDAA17431,984
RSKDAA17547,640
RSKDAA17678,901
RSKDAA9815,616
RSKDAC1527,670
RSKDAC1585,865
RSKDAC1657,701
RSKDAD1863,863
RSKDAD1868,35
RSKDAE2213,630
RSKDAF3152,927
RSKDAG3417,184
RSKDAH3758,142
RSKDAH3790,952
RSKDAH3900,927
RSKDAH3991,759
RSKDAH3996,783
RSKDAI4344,73
RSKDAI4512,796
RSKDAI4644,424
RSKDAI4651,198
RSKDAJ4762,513
RSKDAJ4925,85
RSKDAJ5020,689
RSKDAJ5090,526
RSKDAJ5097,288
RSKDAJ5254,300
RSKDAK5570,95
RSKDAK5770,35
RSKDAK5780,361
RSKDAK5888,130
RSKDAK5938,107
RSKDAK5939,64
RSKDAK5946,494
RSKDAK6071,189
RSKDAL6215,78
RSKDAL6314,372
RSKDAL6534,267
RSKDAM7263,460
RSKDAM7552,892
RSKDAN7934,756
