sku,position
SAAO25461,1861
SAAO25462,1654
SAAO25463,117
SAAO25464,1033
SAAO25465,1
SAAO25466,6
SAAO25467,526
SAAO25468,1809
SAAO25469,884
SAAO25470,1097
SAAO25471,1354
SAAO25472,1194
SAAO25473,686
SAAO25474,483
SAAO25475,1907
SAAO25476,113
SAAO25477,131
SAAO25478,1918
SAAO25479,1323
SAAO25480,372
SAAO25481,1625
SAAO25482,1849
SAAO25483,1066
SAAO25740,929
SAAO25741,1231
SAAO25742,83
SAAO25743,201
SAAO25744,754
SAAO25745,895
SAAO25746,1899
SAAO25747,650
SAAO25748,1055
SAAO25749,810
SAAO25750,1327
SAAO25751,1611
SAAO25752,839
SAAO25753,218
SAAO25754,1078
SAAO25755,598
SAAO25756,927
SAAO25757,516
SAAO25758,1309
SAAO25759,961
SAAO25348,1600
SAAO25349,914
SAAO25350,1231
SAAO25351,1136
SAAO25352,1042
SAAO25353,860
SKDAO8988,340
SKDAO8989,628
SKDAO8990,1995
SKDAO8942,576
SKDAO8943,942
SKDAO8944,1992
KRTAO3325,1119
KRTAO3326,365
KRTAO3327,126
KRTAO3328,1482
KRTAO3329,1350
KRTAO3330,928
KRTAO3331,1113
KRTAO3332,1993
KRTAO3333,1900
KRTAO3334,449
KRTAO3335,1410
KRTAO3336,723
KRTAO3337,1618
KRTAO3338,655
KRTAO3339,1042
KRTAO3340,825
KRTAO3341,445
KRTAO3342,1999
KRTAO3343,1025
KRTAO3344,1496
KRTAO3345,168
KRTAO3346,611
KRTAO3347,258
CCAO3484,1930
CCAO3485,142
CCAO3486,917
CCAO3487,1964
CCAO3488,952
CCAO3489,83
CCAO3490,683
SAAO24932,268
SAAO24934,1496
SAAO24936,1227
SAAO24938,1456
SAAO24939,600
SKDAO9021,1039
SKDAO9022,1842
SKDAO9023,882
SKDAO9024,547
SKDAO9025,1449
SKDAO9026,31
SKDAO9027,383
SKDAO9028,1115
SAAO25446,1661
SAAO25447,401
SAAO25448,1478
SAAO25449,149
SAAO25450,1693
SAAO25451,1698
SAAO25452,1969
SAAO25453,231
SAAO25454,1037
SAAO25455,1258
SAAO25456,1731
SAAO25457,439
SAAO25458,532
SAAO25459,6
SAAO25460,465
CCAO3475,1445
CCAO3476,313
CCAO3477,919
CCAO3478,1856
CCAO3479,695
CCAO3480,1088
CCAO3481,245
CCAO3482,574
CCAO3483,199
SKDAO8945,177
SKDAO8946,346
SKDAO8947,900
SKDAO8948,1307
SKDAO8949,233
SKDAO8950,89
SKDAO8951,717
SKDAO8952,1088
SKDAO8953,1908
SKDAO8954,1251
SKDAO8955,1654
SKDAO8956,752
SKDAO8957,571
SKDAO8958,1896
SKDAO8959,1467
KRTAO3316,1670
KRTAO3317,1268
KRTAO3318,1845
KRTAO3319,1697
KRTAO3320,257
KRTAO3321,1414
KRTAO3322,1442
KRTAO3323,1179
KRTAO3324,498
SAAO25595,503
SAAO25596,1493
SAAO25597,1504
SAAO25598,222
SAAO25599,101
SAAO25600,848
SAAO25601,1341
SAAO25602,405
SAAO25603,1167
SAAO25604,1133
SAAO25605,1098
SAAO25606,320
SAAO25607,506
SAAO25608,1201
SAAO25609,1616
SAAO25610,1318
SAAO25611,1489
SAAO25612,1484
SAAO25613,84
SAAO25623,744
SAAO25624,1138
SAAO25625,407
SAAO25626,651
SAAO25579,887
SAAO25580,1141
SAAO25581,122
SAAO25582,694
SAAO25583,1760
SAAO25584,1840
SAAO25585,73
SAAO25586,1914
SAAO25587,923
SAAO25588,1315
SAAO25589,1008
SAAO25590,636
SAAO25591,157
SAAO25592,950
SAAO25593,1654
SAAO25594,785
SAAO25774,1687
SAAO25775,1784
SAAO25776,1633
SAAO25777,1960
SAAO25778,1823
SAAO25779,1693
SAAO25780,104
SAAO25781,1203
SAAO25782,1913
SAAO25783,394
SAAO25569,1440
SAAO25570,1142
SAAO25571,207
SAAO25572,1568
SAAO25573,247
SAAO25574,18
SAAO25575,283
SAAO25576,489
SAAO25577,1794
SAAO25578,337
SAAO25542,1012
SAAO25543,1014
SAAO25544,1456
SAAO25545,431
SAAO25546,1692
SAAO25547,1895
SAAO25530,238
SAAO25531,79
SAAO25532,1809
SAAO25533,1351
SAAO25534,1394
SAAO25535,1616
SAAO25536,1910
SAAO25537,967
SAAO25538,1419
SAAO25539,1621
SAAO25540,1090
SAAO25541,610
SAAO25760,1654
SAAO25761,1844
SAAO25762,86
SAAO25763,1792
SAAO25614,1253
SAAO25615,814
SAAO25616,887
SAAO25617,1995
SAAO25618,1073
SAAO25619,919
SAAO25620,1065
SAAO25621,680
SAAO25622,1141
SKDAO9010,1896
SKDAO9011,287
SKDAO9012,1853
SKDAO9013,1162
SKDAO9014,1632
SKDAO9015,135
SKDAO9016,1892
SKDAO9017,488
SKDAO9018,1520
SKDAO9019,853
SKDAO9020,1094
SAAO25484,986
SAAO25485,38
SAAO25486,1992
SAAO25487,201
SAAO25488,450
SAAO25489,1856
SAAO25490,1235
SAAO25491,1683
SAAO25492,1829
SAAO25493,1646
SAAO25494,1638
SAAO25495,1279
SAAO25496,312
SAAO25497,1651
SAAO25498,214
SAAO25499,1437
SAAO25500,1142
SAAO25501,201
SAAO25502,78
SAAO25503,1211
SAAO25504,1647
SAAO25505,1230
SAAO25506,1714
SAAO25507,248
SAAO25508,361
SAAO25509,1007
SAAO25510,400
SAAO25511,1320
SAAO25512,801
SAAO25513,695
SAAO25514,1467
SAAO25515,453
SAAO25516,182
SAAO25517,1574
SAAO25518,1335
