sku,position
SAAO25868,3990
SAAO25869,2983
SAAO25870,4766
SAAO25871,3402
SAAO25872,839
SAAO25873,750
SAAO25874,1294
SAAO25875,607
SAAO25876,3791
SAAO25877,3834
SAAO25878,4871
SAAO25879,4194
SAAO25880,745
SAAO25881,3702
SAAO25882,559
SAAO25883,3304
SAAO25884,3226
SAAO25885,4896
SAAO25886,582
SAAO25887,2616
SAAO25888,2361
SAAO25889,1137
SAAO25890,687
SAAO25891,4936
SAAO25892,3718
SAAO25893,1548
SAAO25894,1790
SAAO25895,4241
SAAO25896,2204
SAAO25897,2786
SAAO25898,1276
SAAO25899,1441
SAAO25862,4581
SAAO25863,2497
SAAO25864,2807
SAAO25865,3704
SAAO25866,2380
SAAO25867,1051
SAAO25853,3696
SAAO25854,4791
SAAO25855,3530
SAAO25856,4237
SAAO25857,1705
SAAO25858,1907
SAAO25859,4509
SAAO25860,2829
SAAO25861,3326
CCAP3570,799
CCAP3571,4330
CCAP3572,1422
CCAP3573,3798
CCAP3574,3301
CCAP3575,3219
CCAP3576,2605
CCAP3577,2282
CCAP3578,1192
CCAP3579,4718
CCAP3580,4543
CCAP3581,1718
CCAP3582,3277
CCAP3583,1309
CCAP3584,2336
CCAP3585,2264
SAAP25970,4354
SAAP25971,4138
SAAP25972,577
SAAP25973,537
SAAP25974,4723
SAAP25975,4228
SAAP25976,3089
SAAP25977,4876
SAAP25978,4053
SAAP25979,4006
SAAP25980,3993
SAAP25981,1023
SAAP25982,1063
SAAP25983,4140
SAAP25984,600
SAAP25985,896
SAAP25986,2723
SAAP25987,2565
SAAP25988,1621
SAAP25989,1567
SAAO25900,1476
SAAO25901,4313
SAAO25902,1867
SAAO25903,2522
SAAO25904,2219
SAAO25905,3844
SAAO25906,2692
SAAO25907,544
SAAO25908,2938
SAAO25909,3956
SAAO25910,1486
SAAO25911,2200
SAAP26008,623
SAAP26009,2143
SAAP26010,4473
SAAP26011,1022
SAAP26012,1596
SAAP26013,1108
SAAP26014,2446
SAAP26015,2158
SKDAO8972,4702
SKDAO8973,4582
SKDAO8974,3452
SKDAO8975,1022
SKDAO8976,3862
SKDAO8977,2330
SKDAO8978,4462
SKDAO8979,2423
SKDAO8980,4770
SKDAO8981,3086
SKDAO8982,2947
SKDAO8983,833
SKDAO8984,847
SKDAO8985,1032
SKDAO8986,2370
