sku,price,special_price
PCCAH2142,15845,14265
PCCAH2143,13445,12105
PCCAH2144,15145,13635
PCCAH2145,4945,4455
PCCAH2146,13445,12105
PCCAH2147,13095,11790
PCCAH2132,13795,12420
PCCAH2133,16545,14895
PCCAH2134,13095,11790
PCCAH2135,20445,18405
PCCAH2137,19745,17775
PCCAH2138,12745,11475
PCCAH2139,12195,10980
PCCAH2140,16595,14940
PCCAH2141,18745,16875
PCCAH2157,33245,29925
PCCAH2158,65845,59265
PCCAH2159,22545,20295
PCCAH2160,23895,21510
PCCAH2161,43445,39105
PSAAH12501,4845,4365
PSAAH12502,5195,4680
PSAAH12503,5195,4680
PSAAH12504,5695,5130
PSAAH12505,6945,6255
PSAAH12506,5995,5400
PSAAH12507,6695,6030
PSAAH12508,5395,4860
PSAAH12509,5795,5220
PSAAH12510,6595,5940
PSAAH12511,5845,5265
PSAAH12514,11395,10260
PSAAH12515,12645,11385
PSAAH12516,13395,12060
PSAAH12517,12645,11385
PSAAH12518,13495,12150
PSAAH12520,17395,15660
PSAAH12521,11945,10755
PSAAH12522,17395,15660
PSAAH12523,14295,12870
PSAAH12524,9945,8955
PSAAH12525,11745,10575
PSAAH12526,8545,7695
PSAAH12527,4995,4500
PSAAH12528,7145,6435
PSAAH12529,5745,5175
PSAAH12530,4845,4365
PSAAH12531,3195,2880
PSAAH12532,3045,2745
PSAAH12534,3195,2880
PSAAH12535,4595,4140
PSAAH12536,5295,4770
PSAAH12537,4745,4275
PSAAH12423,12995,11700
PSAAH12424,11395,10260
PSAAH12425,12645,11385
PSAAH12426,13395,12060
PSAAH12427,12195,10980
PSAAH12428,4345,3915
PSAAH12429,4595,4140
PSAAH12430,3895,3510
PSAAH12431,9445,8505
PSAAH12432,10595,9540
PSAAH12433,25695,23130
PSAAH12434,33545,30195
PSAAH12435,27245,24525
PSAAH12436,29195,26280
PSAAH12437,23995,21600
PSAAH12438,30845,27765
PSAAH12439,26545,23895
PSAAH12440,14495,13050
PSAAH12441,31945,28755
PSAAH12442,33795,30420
PSAAH12443,3395,3060
PSAAH12444,3145,2835
PSAAH12445,2395,2160
PSAAH12362,17295,15570
PSAAH12363,17145,15435
PSAAH12364,13295,11970
PSAAH12365,13545,12195
PSAAH12366,17945,16155
PSAAH12367,4745,4275
PSAAH12368,5495,4950
PSAAH12369,8545,7695
PSAAH12370,11745,10575
PSAAH12371,6495,5850
PSAAH12372,5195,4680
PSAAH12373,4595,4140
PSAAH12374,3995,3600
PSAAH12375,5695,5130
PSAAH12376,5195,4680
PSAAH12377,4695,4230
PSAAH12378,4345,3915
PSAAH12379,5495,4950
PSAAH12380,5745,5175
PSAAH12538,4245,3825
PSAAH12539,3795,3420
PSAAH12540,2795,2520
PSAAH12541,7195,6480
PSAAH12542,3495,3150
PSAAH12543,2495,2250
PSAAH12544,4495,4050
PSAAH12545,3145,2835
PSAAH12546,3995,3600
PSAAH12547,4745,4275
PSAAH12548,4395,3960
PSAAH12549,6245,5625
PSAAH12551,2195,1980
PSAAH12552,3595,3240
PSAAH12553,3195,2880
PSAAH12554,4595,4140
PSAAH12555,7145,6435
PSAAH12556,13545,12195
PSAAH12557,13295,11970
PSAAH12558,13795,12420
PSAAH12559,12995,11700
PSAAH12560,12995,11700
PSKDAH3986,15895,14310
PSKDAH3987,13495,12150
PSKDAH3988,16595,14940
PSKDAH3989,15245,13725
PSKDAH3990,19795,17820
PSKDAH4026,12545,11295
PSKDAH4027,12545,11295
PSKDAH4028,10895,9810
PSKDAH4029,7895,7110
PSKDAH4030,11645,10485
PSKDAH4031,12545,11295
PSKDAH4032,10545,9495
PSKDAH4033,11645,10485
PSKDAH4034,14795,13320
PSKDAH4035,12545,11295
PGWAH1160,21050,18945
PGWAH1161,11885,10700
PKRTAH1610,4345,3915
PKRTAH1611,2745,2475
PKRTAH1612,5995,5400
PKRTAH1613,5395,4860
PKRTAH1614,4795,4320
PKRTAH1605,3695,3330
PKRTAH1606,3695,3330
PKRTAH1607,2295,2070
PKRTAH1608,2795,2520
PKRTAH1609,2195,1980
SAAH12668,2795,2236
SAAH12669,2795,2236
SAAH12670,2795,2236
SAAH12671,2795,2236
SAAH12672,2795,2236
SAAH12673,2795,2236
SAAH12674,2795,2236
SAAH12675,2795,2236
SAAH12676,2795,2236
SAAH12677,2795,2236
SAAH12685,4545,3636
SAAH12686,4545,3636
SAAH12687,4545,3636
SAAH12688,4545,3636
SAAH12689,4545,3636
SAAH12690,4545,3636
SAAH12691,4545,3636
SAAH12692,4545,3636
SAAH12693,4545,3636
SAAH12694,4545,3636
SAAH12695,4545,3636
SAAH12696,4545,3636
SAAH12678,2245,1796
SAAH12679,2245,1796
SAAH12680,2245,1796
SAAH12681,2245,1796
SAAH12682,2245,1796
SAAH12683,2245,1796
SAAH12684,2245,1796
SAAH12697,1945,1556
SAAH12698,1945,1556
SAAH12699,1945,1556
SAAH12700,1945,1556
SAAH12701,1945,1556
SAAH12702,1945,1556
SAAH12703,1945,1556
SAAH12704,1945,1556
SAAH12705,1945,1556
SAAH12706,1945,1556
SAAH12707,1945,1556
SAAH12708,1945,1556
SAAH12709,1945,1556
SAAH12710,1945,1556
SAAI12772,12495,9996
SAAI12773,12245,9796
SAAI12774,13945,11156
SAAI12775,10745,8596
SAAI12776,11045,8836
SAAI12777,12295,9836
SAAI12778,11745,9396
SAAI12779,12045,9636
SAAI12780,11245,8996
SAAI12781,12745,10196
SAAI12782,13195,10556
SAAI12859,6945,5556
SAAI12860,6945,5556
SAAI12861,6945,5556
SAAI12862,6945,5556
SAAI12863,6945,5556
SAAI12864,6945,5556
SAAI12865,6945,5556
SAAI12866,6945,5556
SAAI12867,6945,5556
SAAI12783,4795,3836
SAAI12784,4795,3836
SAAI12785,4695,3756
SAAI12786,4795,3836
SAAI12787,4795,3836
SAAI12788,4995,3996
SAAI12789,4695,3756
SAAI12790,4995,3996
SAAI12791,4995,3996
SAAI12792,4995,3996
SAAI12793,4695,3756
SAAI12794,4795,3836
SAAI12795,4695,3756
SAAI12796,4545,3636
SAAI12797,4995,3996
SAAI12798,4695,3756
SAAI12799,4695,3756
SAAI12800,4995,3996
SAAI12801,4995,3996
SAAI12802,4795,3836
SAAI12844,5545,4436
SAAI12845,5545,4436
SAAI12846,5795,4636
SAAI12847,4595,3676
SAAI12848,4995,3996
SAAI12849,5795,4636
