sku,position
SAAA24160,1
SAAA24161,2
SAAA24162,3
CCAE1727,4
CCAE1728,5
CCAE1729,6
CCAE1730,7
CCAE1731,8
CCAE1732,9
CCAE1733,10
CCAE1734,11
CCAE1735,12
CCAE1736,13
CCAE1743,14
CCAE1744,15
CCAE1745,16
CCAE1746,17
CCAE1747,18
CCAE1748,19
CCAE1749,20
CCAE1750,21
CCAE1751,22
SAAA24163,23
SAAA24164,24
SAAA24165,25
SAAA24166,26
SAAA24167,27
SAAA24168,28
SAAA24169,29
SAAA24170,30
SAAA24171,31
SAAA24172,32
SAAA24173,33
SAAF8897,34
SAAF8898,35
SAAF8899,36
SAAF8900,37
SAAF8901,38
SAAF8902,39
SAAF8903,40
SAAF8904,41
SAAF8905,42
SAAF8906,43
SAAA29964,44
SAAA29965,45
SAAA29966,46
SAAA29967,47
SAAA29968,48
SAAA29969,49
SAAA29970,50
SAAA29971,51
SAAA29972,52
SAAA29973,53
SAAA29974,54
SAAA29975,55
SAAA29976,56
SAAA29977,57
SAAA29978,58
SAAA29979,59
SAAA29980,60
SAAA29981,61
SAAA29982,62
SAAA29983,63
SAAA29984,64
SAAA29985,65
SAAD4805,66
SAAD4806,67
SAAD4807,68
SAAD4808,69
SAAD4809,70
SAAD4810,71
SAAD4811,72
SAAD4812,73
SAAD4813,74
SAAD4814,75
SAAD4815,76
SAAF9619,77
SAAF9620,78
SAAF9621,79
SAAF9622,80
SAAF9440,81
SAAF9441,82
SAAF9442,83
SAAF9443,84
SAAF9444,85
SAAF9445,86
SAAF9446,87
SAAF9447,88
SAAF9448,89
SAAF9449,90
SAAF9460,91
SAAF9461,92
SAAF9462,93
SAAF9463,94
SAAF9464,95
SAAF9465,96
SAAF9466,97
SAAF9467,98
SAAF9468,99
SAAF9469,100
SAAF9470,101
SAAF9471,102
SAAF9472,103
SAAF9473,104
SAAF9474,105
SAAF9475,106
SAAF9476,107
SAAF9477,108
SAAF9478,109
SAAF9479,110
SAAF9480,111
SAAF9481,112
SAAF9482,113
SAAF9483,114
SAAF9339,115
SAAF9340,116
SAAF9341,117
SAAF9342,118
SAAF9343,119
SAAF9344,120
SAAF9345,121
SAAF9346,122
SAAF9347,123
SAAF9348,124
SAAF9349,125
SAAF9350,126
SKDAF2949,127
SKDAF2950,128
SKDAF2951,129
SKDAF2952,130
SKDAF2953,131
SKDAF2954,132
SKDAF2955,133
SKDAF2956,134
CCAF1865,135
CCAF1866,136
CCAF1867,137
CCAF1868,138
CCAF1869,139
CCAF1870,140
