sku,position
PLZAP1024,460
PLZAP1025,316
PLZAP1026,47
PLZAP1027,452
PLZAP1028,107
PLZAP1029,441
PLZAP1030,66
PLZAP1031,455
PLZAP1032,317
PLZAP1033,456
PLZAP1034,255
PLZAP1035,285
PLZAP1036,389
PLZAP1037,116
PLZAP1038,158
PLZAP1039,292
PLZAP1040,79
PLZAP1041,369
PLZAP1042,252
PLZAP1043,107
PLZAP1044,247
PLZAP1045,8
PLZAP1046,0
PLZAP1047,365
PLZAP1048,415
PLZAP1049,423
PLZAP1050,351
PLZAP1051,166
PLZAP1052,340
PLZAP1053,452
PLZAP1054,118
PLZAP1055,91
PLZAP1056,448
PLZAP1057,25
PLZAP1058,235
PLZAP1059,63
PLZAP1060,44
PLZAP1061,74
PLZAP1062,457
PLZAP1063,273
PLZAP1064,435
PLZAP1065,451
PLZAP1066,490
PLZAP1067,276
PLZAP1068,121
PLZAP1069,272
PLZAP1070,461
PLZAP1071,67
PLZAP1072,276
PLZAP1073,235
PLZAP1074,335
PLZAP1075,258
PLZAP1076,368
PLZAP1077,123
PLZAP1078,290
PLZAP1079,427
PLZAP1080,364
PLZAP1081,232
PLZAP1082,230
PLZAP1083,363
PLZAP1084,355
PLZAP1085,393
PLZAP1086,373
PLZAP1087,288
PLZAP1088,58
PLZAP1089,85
PLZAP1090,287
PLZAP1091,401
PLZAP1092,235
PLZAP1093,416
PLZAP1094,277
PLZAP1095,394
PLZAP1096,177
PLZAP1097,74
PLZAP1098,260
PLZAP1099,113
PLZAP1100,446
PLZAP1101,140
PLZAP1102,166
PLZAP1103,63
PLZAP1104,379
PLZAP1105,266
PLZAP1106,169
PLZAP1107,76
PLZAP1108,180
PLZAP1109,434
PLZAP1110,175
PLZAP1111,490
PLZAP1112,13
PLZAP1113,94
PLZAP1114,48
PLZAP1115,139
PLZAP1116,375
PLZAP1117,446
PLZAP1118,420
PLZAP1119,159
PLZAP1120,152
