sku,position
SAAL20424,0
SAAL20425,0
SAAL20426,0
SAAL20427,0
SAAL20428,0
SAAL20429,0
SAAL20430,0
SAAL20431,0
SAAL20432,0
SAAL20329,0
SAAL20330,0
SAAL20331,0
SAAL20332,0
SAAL20333,0
SAAL20334,0
SAAL20335,0
SAAL20336,0
SAAL20337,0
SAAL20338,0
SAAL20339,0
SAAL20340,0
SAAL20341,0
SAAL20342,0
SAAL20343,0
SAAL20344,0
SAAL20345,0
SAAL20346,0
SAAL20347,0
SAAL20348,0
SAAL20433,0
SAAL20434,0
SAAL20435,0
SAAL20436,0
SAAL20437,0
SAAL20438,0
SAAL20439,0
SAAL20440,0
SAAL20441,0
SAAL20442,0
SAAL20443,0
SAAL20444,0
KRTAL2640,0
KRTAL2641,0
KRTAL2642,0
KRTAL2643,0
KRTAL2644,0
KRTAL2645,0
KRTAL2646,0
KRTAL2647,0
KRTAL2648,0
KRTAL2649,0
KRTAL2650,0
KRTAL2651,0
SKDAL7003,0
SKDAL7004,0
SKDAL7005,0
SKDAL7006,0
SKDAL7007,0
SKDAL7008,0
SKDAL7009,0
SKDAL7010,0
SKDAL6995,0
SKDAL6996,0
SKDAL6997,0
SKDAL6998,0
SKDAL6999,0
SKDAL7000,0
SKDAL7001,0
SKDAL7002,0
SKDAL6987,0
SKDAL6988,0
SKDAL6989,0
SKDAL6990,0
SKDAL6991,0
SKDAL6992,0
SKDAL6993,0
SKDAL6994,0
SAAL20397,0
SAAL20398,0
SAAL20399,0
SAAL20400,0
SAAL20401,0
SAAL20402,0
SAAL20403,0
SAAL20404,0
SAAL20405,0
SAAL20406,0
SAAL20407,0
SAAL20408,0
SAAL20409,0
SAAL20410,0
SAAL20411,0
SAAL20412,0
SAAL20413,0
SAAL20414,0
SAAL20317,0
SAAL20318,0
SAAL20319,0
SAAL20320,0
SAAL20321,0
SAAL20322,0
SAAL20323,0
SAAL20324,0
SAAL20325,0
SAAL20326,0
SAAL20327,0
SAAL20328,0
KRTAL2577,0
KRTAL2578,0
KRTAL2579,0
KRTAL2580,0
KRTAL2581,0
KRTAL2582,0
KRTAL2583,0
KRTAL2584,0
SAAL20385,0
SAAL20386,0
SAAL20387,0
SAAL20388,0
SAAL20389,0
SAAL20391,0
SAAL20392,0
SAAL20393,0
SAAL20394,0
SAAL20395,0
SAAL20396,0
SKDAL6957,0
SKDAL6958,0
SKDAL6959,0
SKDAL6960,0
SKDAL6961,0
SKDAL6962,0
SKDAL6963,0
SKDAL6964,0
SAAL20375,0
SAAL20376,0
SAAL20377,0
SAAL20378,0
SAAL20379,0
SAAL20380,0
SAAL20381,0
SAAL20382,0
SAAL20383,0
SAAL20384,0
SAAL20305,0
SAAL20306,0
SAAL20307,0
SAAL20308,0
SAAL20309,0
SAAL20310,0
SAAL20311,0
SAAL20312,0
SAAL20313,0
SAAL20314,0
SAAL20315,0
SAAL20316,0
SAAL20296,0
SAAL20297,0
SAAL20298,0
SAAL20299,0
SAAL20300,0
SAAL20301,0
SAAL20302,0
SAAL20303,0
SAAL20304,0
SAAL20366,0
SAAL20367,0
SAAL20368,0
SAAL20369,0
SAAL20370,0
SAAL20371,0
SAAL20372,0
SAAL20373,0
SAAL20374,0
SAAL20415,0
SAAL20416,0
SAAL20417,0
SAAL20418,0
SAAL20419,0
SAAL20420,0
SAAL20421,0
SAAL20422,0
SAAL20423,0
SAAL20287,0
SAAL20288,0
SAAL20289,0
SAAL20290,0
SAAL20291,0
SAAL20292,0
SAAL20293,0
SAAL20294,0
SAAL20295,0
SAAL20357,0
SAAL20358,0
SAAL20359,0
SAAL20360,0
SAAL20361,0
SAAL20362,0
SAAL20363,0
SAAL20364,0
SAAL20365,0
SAAL20278,0
SAAL20279,0
SAAL20280,0
SAAL20281,0
SAAL20282,0
SAAL20283,0
SAAL20284,0
SAAL20285,0
SAAL20286,0
KRTAL2652,0
KRTAL2653,0
KRTAL2654,0
KRTAL2655,0
KRTAL2656,0
KRTAL2657,0
KRTAL2658,0
KRTAL2659,0
SAAL20608,0
SAAL20609,0
SAAL20610,0
SAAL20611,0
SAAL20612,0
SAAL20613,0
SAAL20614,0
SAAL20615,0
SAAL20616,0
SAAL20617,0
KRTAL2672,0
KRTAL2673,0
KRTAL2674,0
KRTAL2675,0
KRTAL2676,0
KRTAL2677,0
KRTAL2678,0
KRTAL2679,0
KRTAL2660,0
KRTAL2661,0
KRTAL2662,0
KRTAL2663,0
SAAL20574,0
SAAL20575,0
SAAL20576,0
SAAL20577,0
SAAL20578,0
SAAL20579,0
SAAL20580,0
SAAL20581,0
SAAL20582,0
SAAL20583,0
SAAL20584,0
SAAL20585,0
SAAL20506,0
SAAL20507,0
SAAL20508,0
SAAL20509,0
SAAL20510,0
SAAL20511,0
SAAL20512,0
SAAL20513,0
SAAL20514,0
SAAL20515,0
SAAL20552,0
SAAL20553,0
SAAL20554,0
SAAL20555,0
SAAL20556,0
SAAL20557,0
SAAL20558,0
SAAL20559,0
SAAL20560,0
SAAL20561,0
SKDAL7011,0
SKDAL7012,0
SKDAL7013,0
SKDAL7014,0
SKDAL7015,0
SKDAL7016,0
SKDAL7017,0
SKDAL7018,0
SKDAL7019,0
SKDAL7020,0
SKDAL7021,0
SKDAL7022,0
SKDAL6253,0
SKDAL6254,0
SKDAL6255,0
SKDAL6256,0
SKDAL6257,0
SKDAL6258,0
SKDAL6259,0
SKDAL6260,0
SKDAL6261,0
KIDSAL1240,0
KIDSAL1241,0
KIDSAL1242,0
KIDSAL1243,0
KIDSAL1244,0
KIDSAL1245,0
KIDSAL1246,0
KIDSAL1247,0
KIDSAL1248,0
KIDSAL1249,0
SAAL20618,0
SAAL20619,0
SAAL20620,0
SAAL20621,0
SAAL20622,0
SAAL20623,0
SAAL20624,0
SAAL20625,0
SAAL20626,0
SAAL20627,0
SAAL20628,0
SAAL20629,0
SAAL20630,0
SAAL20631,0
SAAL20632,0
SKDAL7023,0
SKDAL7024,0
SKDAL7025,0
SKDAL7026,0
SKDAL7027,0
SKDAL7028,0
SKDAL7029,0
SKDAL7030,0
SKDAL7031,0
SKDAL7052,0
SKDAL7053,0
SKDAL7054,0
SKDAL7055,0
SKDAL7056,0
SKDAL7057,0
SKDAL7058,0
SKDAL7059,0
SAAL20595,0
SAAL20596,0
SAAL20597,0
SAAL20598,0
SAAL20599,0
SAAL20600,0
SAAL20601,0
SAAL20602,0
SAAL20603,0
SAAL20604,0
SAAL20605,0
SAAL20606,0
SAAL20607,0
KRTAL2680,0
KRTAL2681,0
KRTAL2682,0
KRTAL2683,0
KRTAL2684,0
KRTAL2685,0
KRTAL2686,0
KRTAL2687,0
SAAL20633,0
SAAL20634,0
SAAL20635,0
SAAL20636,0
SAAL20637,0
SAAL20638,0
SAAL20639,0
SAAL20640,0
SAAL20641,0
SAAL20642,0
SAAL20643,0
SAAL20644,0
SAAL20645,0
SAAL20646,0
SAAL20647,0
SAAL20648,0
SAAL20649,0
SAAL20650,0
SAAM20651,0
SAAM20652,0
SAAM20653,0
SAAM20654,0
SAAM20655,0
SAAM20656,0
SAAM20657,0
SAAM20658,0
SAAM20659,0
SKDAL7032,0
SKDAL7033,0
SKDAL7034,0
SKDAL7035,0
SKDAL7036,0
SKDAL7037,0
SKDAL7038,0
SKDAL7039,0
SKDAL7040,0
SKDAL7041,0
SKDAL7042,0
SKDAL7043,0
SAAL20534,0
SAAL20535,0
SAAL20536,0
SAAL20537,0
SAAL20538,0
SAAL20539,0
SAAL20540,0
SAAL20541,0
SAAL20542,0
SAAL20543,0
SAAL20586,0
SAAL20587,0
SAAL20588,0
SAAL20589,0
SAAL20590,0
SAAL20591,0
SAAL20592,0
SAAL20593,0
SAAL20594,0
SAAL20516,0
SAAL20517,0
SAAL20518,0
SAAL20519,0
SAAL20520,0
SAAL20521,0
CCAL2938,0
CCAL2939,0
CCAL2940,0
SAAL20465,0
SAAL20466,0
SAAL20467,0
SAAL20468,0
SAAL20469,0
SAAL20470,0
SAAL20471,0
SAAL20472,0
SAAL20473,0
SAAL20474,0
SAAL20475,0
SAAL20476,0
SAAL18712,0
SAAL18713,0
SAAL18714,0
SAAL18715,0
SAAL18716,0
SAAL18717,0
SAAL18718,0
SAAL18719,0
SAAL18720,0
SAAL18721,0
SAAL18722,0
SAAM20660,0
SAAM20661,0
SAAM20662,0
SAAM20663,0
SAAM20664,0
SAAM20665,0
KRTAL2696,0
KRTAL2697,0
KRTAL2698,0
KRTAL2699,0
KRTAL2700,0
KRTAL2701,0
KRTAL2702,0
KRTAL2703,0
KRTAL2704,0
KRTAL2705,0
KRTAL2706,0
KRTAL2707,0
KRTAL2708,0
KRTAL2709,0
KRTAL2710,0
KRTAL2688,0
KRTAL2689,0
KRTAL2690,0
KRTAL2691,0
KRTAL2692,0
KRTAL2693,0
KRTAL2694,0
KRTAL2695,0
SAAL18732,0
SAAL18733,0
SAAL18734,0
SAAL18735,0
SAAL18736,0
SAAL18737,0
SAAL18738,0
SAAL18739,0
SAAL18740,0
SAAL18741,0
SAAL18742,0
KRTAL2664,0
KRTAL2665,0
KRTAL2666,0
KRTAL2667,0
KRTAL2668,0
KRTAL2669,0
KRTAL2670,0
KRTAL2671,0
SAAL20445,0
SAAL20446,0
SAAL20447,0
SAAL20448,0
SAAL20449,0
SAAL20450,0
SAAL20451,0
SAAL20452,0
SAAL20453,0
SAAL20454,0
SAAL20455,0
SAAL20456,0
KRTAL2711,0
KRTAL2712,0
KRTAL2713,0
KRTAL2714,0
KRTAL2715,0
KRTAL2716,0
SAAL20544,0
SAAL20545,0
SAAL20546,0
SAAL20547,0
SAAL20548,0
SAAL20549,0
SAAL20550,0
SAAL20551,0
SKDAL7044,0
SKDAL7045,0
SKDAL7046,0
SKDAL7047,0
SKDAL7048,0
SKDAL7049,0
SKDAL7050,0
SKDAL7051,0
SAAL20477,0
SAAL20478,0
SAAL20479,0
SAAL20480,0
SAAL20481,0
SAAL20482,0
SAAL20483,0
SAAL20484,0
SAAL20485,0
SAAL20486,0
SAAL20487,0
SAAL20488,0
SAAL20489,0
SAAL20490,0
SAAL20491,0
SAAL20492,0
SAAL20493,0
SAAL20562,0
SAAL20563,0
SAAL20564,0
SAAL20565,0
SAAL20566,0
SAAL20567,0
SAAL20568,0
SAAL20569,0
SAAL20570,0
SAAL20571,0
SAAL20572,0
SAAL20573,0
SAAL20457,0
SAAL20458,0
SAAL20459,0
SAAL20460,0
SAAL20461,0
SAAL20462,0
SAAL20463,0
SAAL20464,0
SAAL20494,0
SAAL20495,0
SAAL20496,0
SAAL20497,0
SAAL20498,0
SAAL20499,0
SAAL20500,0
SAAL20501,0
