sku,position
CCAG1998,1
CCAG1947,1
CCAE1736,1
PCCAG1981,1
CCAG1951,1
CCAG1943,1
CCAF1865,1
CCAJ2575,1
CCAC1401,1
CCAI2369,1
CCAG1946,1
CCAC1397,1
CCAH2168,1
CCAH2105,1
CCAH2176,1
CCAC1443,1
CCAG1939,1
CCAA4112,1
CCAJ2587,1
CCAA4029,1
CCAJ2580,1
CCAI2306,1
CCAG1940,1
CCAG2020,1
CCAC1400,1
CCAI2388,1
CCAJ2589,1
PCCAI2366,1
CCAG1949,1
CCAG1944,1
CCAG2034,1
CCAG2038,1
CCAF1792,1
CCAC1312,1
CCAA4111,1
PCCAA3789,1
CCAG1999,1
PCCAC1385,1
CCAJ2581,1
CCAI2514,1
CCAI2454,1
CCAI2303,1
CCAG2013,1
CCAG2024,1
CCAG1948,1
CCAF1868,1
CCAF1844,1
CCAA4123,1
CCAC1399,1
CCAA4095,1
CCAJ2590,1
CCAJ2588,1
CCAJ2582,1
CCAH2171,1
CCAH2156,1
CCAG2049,1
CCAF1866,1
CCAF1891,1
CCAC1447,1
CCAC1316,1
CCAF1791,1
PCCAI2317,1
PCCAI2316,1
PCCAI2326,1
CCAJ2578,1
CCAI2297,1
CCAH2103,1
CCAF1795,1
CCAC1445,1
CCAG2026,1
CCAA3934,1
CCAJ2586,1
CCAF1869,1
CCAF1884,1
CCAE1734,1
CCAG2055,1
CCAF1849,1
CCAA4110,1
CCAC1373,1
PCCAI2315,1
CCAJ2583,1
CCAI2300,1
CCAF1890,1
CCAG1945,1
CCAG1942,1
CCAF1870,1
CCAC1214,1
CCAA4127,1
CCAF1873,1
CCAG2000,1
CCAJ2585,1
CCAJ2579,1
CCAI2299,1
CCAE1743,1
CCAG1998,1
CCAK2662,1
CCAK2663,1
CCAK2660,1
CCAK2661,1
CCAK2659,1
CCAK2658,1
CCAK2657,1
CCAK2656,1
CCAK2655,1
CCAK2654,1
CCAK2653,1
CCAK2652,1
CCAK2651,1
CCAK2650,1
CCAK2649,1
CCAJ2584,1
CCAJ2541,1
CCAG2032,1
CCAE1678,1
PCCAF1876,1
CCAH2077,1
CCAC1286,1
PCCAI2200,1
PCCAH2091,1
PCCAH2186,1
CCAJ2576,1
CCAJ2562,1
CCAJ2547,1
CCAI2512,1
CCAI2482,1
CCAI2333,1
CCAH2078,1
CCAG2051,1
PCCAA3922,1
CCAF1850,1
CCAF1848,1
CCAE1735,1
CCAE1672,1
CCAA4130,1
CCAA4124,1
CCAF1847,1
PCCAH2193,1
CCAJ2577,1
CCAJ2537,1
CCAI2451,1
CCAI2392,1
CCAG2014,1
CCAF1887,1
CCAF1796,1
CCAE1741,1
CCAE1727,1
CCAC1314,1
PCCAI2350,1
PCCAF1772,1
PCCAG1973,1
CCAC1318,1
PCCAI2351,1
PCCAE1633,1
CCAJ2559,1
CCAJ2540,1
CCAI2368,1
CCAH2104,1
CCAG2034,1
CCAG2038,1
CCAF1792,1
CCAC1312,1
