sku,position
PCCAP3726,61
PCCAP3727,40
PCCAP3728,97
PCCAP3729,14
PCCAP3730,88
PCCAP3731,73
PCCAP3732,85
PCCAP3733,63
PCCAP3734,76
PCCAP3735,53
PSKDAP9508,38
PSKDAP9509,17
PSKDAP9510,25
PSKDAP9511,64
PSKDAP9512,22
PSKDAP9513,91
PSKDAP9514,39
PSKDAP9515,20
PSKDAP9516,57
PSKDAP9517,91
PSAAP27324,84
PSAAP27325,10
PSAAP27326,19
PSAAP27327,38
PSAAP27328,20
PSAAP27329,17
PSAAP27330,78
PSAAP27331,36
PSAAP27332,45
PSAAP27333,77
PSAAP27334,22
PSAAP27335,85
PSAAP27336,35
PSAAP27337,81
PSAAP27338,26
