sku,position
GWAN1334,431
GWAN1335,485
GWAN1336,484
GWAN1337,313
GWAN1338,387
GWAN1339,395
GWAN1340,118
GWAN1341,447
GWAN1342,370
GWAN1343,56
GWAK1271,192
GWAK1272,181
GWAK1273,237
GWAK1274,247
GWAK1275,209
GWAK1276,400
GWAK1246,381
GWAK1247,246
GWAK1248,23
GWAK1249,405
GWAK1250,431
GWAK1251,68
GWAM1295,472
GWAM1296,242
GWAM1297,292
GWAM1298,98
GWAM1299,71
GWAM1300,233
GWAM1301,107
GWAM1302,77
GWAM1303,111
GWAM1304,417
GWAM1311,306
GWAM1312,275
GWAM1313,427
GWAN1322,169
GWAN1323,144
GWAN1324,41
GWAN1325,495
GWAN1326,480
GWAN1327,450
GWAN1328,319
GWAN1329,346
GWAN1330,385
GWAN1331,407
GWAN1332,341
GWAN1333,333
GWAO1373,174
GWAO1374,484
GWAO1375,278
GWAO1376,35
GWAO1377,396
GWAO1378,70
GWAO1379,329
GWAO1344,336
GWAO1345,428
GWAO1346,30
GWAO1347,273
GWAO1348,483
GWAO1349,224
GWAO1350,307
GWAO1351,50
GWAO1352,311
GWAO1353,459
GWAO1354,49
GWAO1355,70
GWAO1356,362
GWAO1357,361
GWAO1358,271
GWAO1359,60
GWAO1360,138
GWAO1361,497
GWAO1362,90
GWAO1363,408
GWAO1364,266
GWAO1365,242
GWAO1366,486
GWAO1367,369
GWAO1368,34
GWAO1369,69
GWAO1370,490
GWAO1371,236
GWAO1372,338
