sku,position
SAAO25107,107
SAAO25108,610
SAAO25109,364
SAAO25110,1444
SAAO25111,672
SAAO25112,909
SAAO25113,1078
SAAO25029,335
SAAO25030,1000
SAAO25031,1686
SAAO25032,541
SAAO25033,1035
SAAO25034,86
SAAO25035,1433
SAAO25036,1669
SAAO25037,1951
SAAO25038,1293
SAAO25039,1656
SAAO25040,40
SAAO25041,174
SAAO25042,819
SAAO25043,1520
SAAO25044,1580
SAAO25045,1751
SAAO25046,840
SAAO25047,366
SAAO25048,1928
SAAO25049,1378
SAAO25050,1421
SAAO25051,1332
SAAO25052,555
SAAO25053,889
SAAO25054,1932
SAAO25055,962
SAAO25056,1277
SAAO25057,487
SAAO25058,1773
SAAO25002,288
SAAO25003,1430
SAAO25004,104
SAAO25005,1086
SAAO25006,1198
SAAO25007,1472
SAAO25008,842
SAAO25009,1427
SAAO25010,1411
SAAO25011,1571
SAAO25012,1719
SAAO25013,6
SAAO25014,1512
SKDAO8726,448
SKDAO8727,1870
SKDAO8728,1587
SKDAO8729,960
SKDAO8730,1214
SKDAO8731,1558
SKDAO8732,238
SKDAO8733,1397
SKDAO8734,937
SKDAO8735,1953
SKDAO8736,584
SKDAO8737,449
SKDAO8738,900
SKDAO8739,229
SKDAO8740,131
SKDAO8741,413
SKDAO8742,820
SKDAO8743,115
SKDAO8744,1562
SKDAO8745,311
CCAO3446,1137
CCAO3447,72
CCAO3448,1192
CCAO3449,287
CCAO3450,99
CCAO3451,509
CCAO3452,240
CCAO3453,443
SKDAO8779,400
SKDAO8780,1486
SKDAO8781,67
SKDAO8782,1496
SKDAO8783,682
SKDAO8784,1242
SAAO24987,161
SAAO24988,532
SAAO24989,1583
SAAO24990,1310
SAAO24991,1108
SAAO24992,750
SAAO24993,409
SAAO24994,1889
SAAO24995,808
SAAO24996,1512
SAAO24997,712
SAAO24998,527
SAAO24999,1479
SAAO25000,1378
SAAO25001,806
SAAO24942,900
SAAO24943,231
SAAO24944,1514
SAAO24945,192
SAAO24946,141
SAAO24947,1419
SAAO24948,811
SAAO24949,1765
SAAO24772,1914
SAAO24773,935
SAAO24774,757
SAAO24775,47
SAAO24776,117
SAAO24777,560
SAAO24778,1137
SAAO24779,533
SAAO24780,1874
SAAO24781,1084
SAAO24782,269
SAAO24783,774
SAAO24784,884
SAAO24785,1448
SAAO24786,350
SAAO24787,1318
SAAO24788,364
SAAO24789,1163
SKDAO8769,544
SKDAO8770,1719
SKDAO8771,243
SKDAO8772,1264
SKDAO8773,435
SKDAO8774,779
SKDAO8775,1005
SKDAO8776,1551
SKDAO8777,1905
SKDAO8778,974
SKDAO8764,1497
SKDAO8765,621
SKDAO8766,644
SKDAO8767,1430
SKDAO8768,77
SKDAO8755,1723
SKDAO8756,104
SKDAO8757,1790
SKDAO8758,1742
SKDAO8759,1467
SKDAO8760,491
SKDAO8761,986
SKDAO8762,805
SKDAO8763,1422
SAAO24969,1703
SAAO24970,441
SAAO24971,1063
SAAO24972,1929
SAAO24973,287
SAAO24974,486
SAAO24975,887
SAAO24976,148
SAAO24977,1635
SAAO24978,267
SAAO24979,1599
SAAO24980,1802
SAAO24981,940
SAAO24982,1312
SAAO24983,131
SAAO24984,947
SAAO24985,723
SAAO24986,13
