sku,position,url_key,status
SAAL18669,281,,
SAAL18670,230,,
SAAL18671,51,,
SAAL18672,468,,
SAAL18673,134,,
SAAL18674,188,,
SAAL18675,421,,
SAAL18676,160,,
SAAL18677,94,,
SAAL18678,270,,
SAAO25077,587,,
SAAO25078,813,,
SAAO25079,435,,
SAAO25080,394,,
SAAO25081,419,,
SAAO25082,242,,
SAAO25083,203,,
SAAO25084,943,,
SAAO25085,191,,
SAAO25086,34,,
SAAO25087,20,,
SAAO25088,191,,
SAAO25089,620,,
SAAO25090,776,,
SAAO25091,953,,
SAAO25092,458,,
SAAO25093,117,,
SAAO25094,623,,
SAAO25095,859,,
SAAO25096,91,,
SAAO25097,621,,
SAAO25098,489,,
SAAO25099,973,,
SAAO25100,109,,
SAAO25101,990,,
SAAO25102,72,,
SAAO25103,32,,
SAAO25104,300,,
SAAO25105,265,,
SAAO25106,572,,
SAAO25114,441,,
SAAO25115,615,,
SAAO25116,827,,
SAAO25117,537,,
SAAO25118,87,,
SAAO25119,441,,
SAAO25120,406,,
SAAO25121,80,,
SAAO25122,779,,
SAAO25123,475,,
SAAO25124,877,,
SAAO25125,444,,
SAAO25126,242,,
SAAO25127,28,,
SAAO25128,557,,
SAAO25129,963,,
SAAO25130,475,,
SAAO25131,448,,
SAAO25132,893,,
SAAO25133,46,,
SAAO25134,595,,
SAAO25135,225,,
SAAO25136,584,,
SAAO25137,994,,
SAAO25138,455,,
SAAO25139,907,,
SAAO25140,344,,
SAAO25141,582,,
SAAO25142,876,,
SAAO25143,991,,
SAAO25144,403,,
SAAO25145,964,,
SAAO25146,271,,
SAAO25147,308,,
SAAO25148,245,,
SAAO25149,863,,
SAAO25150,459,,
SAAO25151,731,,
SAAO25152,785,,
SAAO25153,370,,
SAAO25154,319,,
SAAO25155,632,,
SAAO25156,175,,
SAAO25157,694,,
SAAO25158,334,,
SAAO25159,296,,
SAAO25160,488,,
SAAO25161,757,,
SAAO25162,983,,
SAAO25163,10,,
SAAO25164,375,,
SAAO25165,82,,
SAAO25166,811,,
SAAO25167,593,,
SAAO25168,488,,
SAAO25169,770,,
SAAO25170,15,,
SAAO25171,649,,
SAAO25172,381,,
SAAO25173,730,,
SAAO25174,883,,
SAAO25175,902,,
SAAO25176,266,,
SAAO25177,787,,
SAAO25178,736,,
SAAO25179,312,,
SAAO25180,224,,
SAAO25181,327,,
SAAO25182,941,,
SAAO25183,748,,
SAAO25184,876,,
SAAO25185,90,,
SAAO25186,331,,
SAAO25187,934,,
SAAO25188,512,,
SAAO25189,374,,
SAAO25190,190,,
SAAO25191,583,,
SAAO25192,613,,
SAAO25193,855,,
SAAO25194,296,,
SAAO25204,963,,
SAAO25205,977,,
SAAO25206,478,,
SAAO25207,613,,
SAAO25208,349,,
SAAO25209,981,,
SAAO25210,627,,
SAAO25211,349,,
SAAO25212,448,,
SAAO25213,828,,
SKDAO8858,80,,
SKDAO8859,76,,
SKDAO8860,75,,
SKDAO8861,42,,
SKDAO8862,21,,
