sku,position
SKDAL7052,0
SKDAL7056,0
SKDAL7044,0
SKDAL7045,0
SKDAL7046,0
SKDAL7047,0
SKDAL7048,0
SKDAL7049,0
SKDAL7050,0
SKDAL7051,0
SKDAL6995,0
SKDAL6996,0
SKDAL6997,0
SKDAL6998,0
SKDAL6999,0
SKDAL7000,0
SKDAL7001,0
SKDAL7002,0
SKDAL7008,0
SKDAL6987,0
SKDAL6988,0
SKDAL6989,0
SKDAL6990,0
SKDAL6991,0
SKDAL6992,0
SKDAL6993,0
SKDAL6994,0
SKDAL6957,0
SKDAL6958,0
SKDAL6959,0
SKDAL6960,0
SKDAL6961,0
SKDAL6962,0
SKDAL6963,0
SKDAL6964,0
SKDAL6904,0
SKDAL6905,0
SKDAL6906,0
SKDAL6907,0
SKDAL6908,0
SKDAL6909,0
SKDAL6910,0
SKDAL6914,0
SKDAL6922,0
SKDAL6920,0
SKDAL6923,0
SKDAL6924,0
SKDAL6925,0
SKDAL6926,0
SKDAL6927,0
SKDAL6928,0
SKDAL6965,0
SKDAL6966,0
SKDAL6967,0
SKDAL6968,0
SKDAL6969,0
SKDAL6970,0
SKDAL6971,0
SKDAL6877,0
SKDAL6878,0
SKDAL6879,0
SKDAL6880,0
SKDAL6881,0
SKDAL6882,0
SKDAL6883,0
SKDAL6871,0
SKDAL6873,0
SKDAL6874,0
SKDAL6875,0
SKDAL6876,0
SKDAL6854,0
SKDAL6855,0
SKDAL6856,0
SKDAL6857,0
SKDAL6813,0
SKDAL6814,0
SKDAL6815,0
SKDAL6816,0
SKDAL6817,0
SKDAL6818,0
SKDAL6819,0
SKDAL6820,0
SKDAL6806,0
SKDAL6772,0
SKDAL6773,0
SKDAL6774,0
SKDAL6775,0
SKDAL6776,0
SKDAL6777,0
SKDAL6778,0
SKDAL6779,0
SKDAL6710,0
SKDAL6711,0
SKDAL6712,0
SKDAL6713,0
SKDAL6714,0
SKDAL6715,0
SKDAL6582,0
SKDAL6583,0
SKDAL6584,0
SKDAL6585,0
SKDAL6586,0
SKDAL6587,0
SKDAL6588,0
SKDAL6589,0
SKDAL6590,0
SKDAL6651,0
SKDAL6652,0
SKDAL6653,0
SKDAL6654,0
SKDAL6655,0
SKDAL6656,0
SKDAL6657,0
SKDAL6658,0
SKDAL6659,0
SKDAL6660,0
SKDAL6661,0
SKDAL6662,0
