sku,position
SAAA21084,5099
SAAA21124,5100
SAAA21131,5101
SAAA21392,5102
SAAA21402,5103
SAAA21409,5104
SAAA21519,5105
SAAA21557,5106
SAAA21577,5107
SAAA21602,5108
SAAA21612,5109
SAAA21628,5110
SAAA21657,5111
SAAA21661,5112
SAAA21667,5113
SAAA21668,5114
SAAA21719,5115
SAAA22186,5116
SAAA22272,5117
SAAA22275,5118
SAAA22326,5119
SAAA22354,5120
SAAA22357,5121
SAAA22358,5122
SAAA22363,5123
SAAA22365,5124
SAAA22374,5125
SAAA22486,5126
SAAA22519,5127
SAAA22662,5128
SAAA23003,5129
SAAA23118,5130
SAAA23119,5131
SAAA23120,5132
SAAA23121,5133
SAAA23129,5134
SAAA23133,5135
SAAA23235,5136
SAAA23512,5137
SAAA23529,5138
SAAA23531,5139
SAAA23532,5140
SAAA23534,5141
SAAA23535,5142
SAAA23537,5143
SAAA23546,5144
SAAA23808,5145
SAAA23940,5146
SAAA24050,5147
SAAA24053,5148
SAAA24196,5149
SAAA24223,5150
SAAA24227,5151
SAAA24238,5152
SAAA24395,5153
SAAA24543,5154
SAAA24743,5155
SAAA24829,5156
SAAA25048,5157
SAAA25057,5158
SAAA25261,5159
SAAA25271,5160
SAAA25392,5161
SAAA25427,5162
SAAA25491,5163
SAAA25695,5164
SAAA25895,5165
SAAA25900,5166
SAAA25902,5167
SAAA25903,5168
SAAA26648,5169
SAAA26651,5170
SAAA26653,5171
SAAA26654,5172
SAAA26934,5173
SAAA26939,5174
SAAA26943,5175
SAAA27089,5176
SAAA27095,5177
SAAA27250,5178
SAAA27251,5179
SAAA27257,5180
SAAA27264,5181
SAAA27477,5182
SAAA27480,5183
SAAA27500,5184
SAAA27511,5185
SAAA27572,5186
SAAA27655,5187
SAAA27748,5188
SAAA27911,5189
SAAA27934,5190
SAAA27974,5191
SAAA27976,5192
SAAA27979,5193
SAAA27995,5194
SAAA28014,5195
SAAA28119,5196
SAAA28129,5197
SAAA28136,5198
SAAA28384,5199
SAAA28389,5200
SAAA28639,5201
SAAA28643,5202
SAAA28644,5203
SAAA28646,5204
SAAA28649,5205
SAAA28675,5206
SAAA28886,5207
SAAA28895,5208
SAAA29132,5209
SAAA29136,5210
SAAA29173,5211
SAAA29174,5212
SAAA29320,5213
SAAA29326,5214
SAAA29328,5215
SAAA29337,5216
SAAA29338,5217
SAAA29892,5218
SAAA29904,5219
SAAA30011,5220
SAAA30026,5221
SAAA30050,5222
SAAA30071,5223
SAAA30075,5224
SAAA6462,5225
SAAABL147,5226
SAAB1286,5227
SAAB1288,5228
SAAB1292,5229
SAAB1343,5230
SAAB1394,5231
SAAB1397,5232
SAAB1410,5233
SAAB1444,5234
SAAB1477,5235
SAAB1480,5236
SAAB1483,5237
SAAB1549,5238
SAAB1653,5239
SAAB1655,5240
SAAB1660,5241
SAAB1677,5242
SAAB1680,5243
SAAB1734,5244
SAAB1885,5245
SAAB2033,5246
SAAB2035,5247
SAAB2100,5248
SAAB2230,5249
SAAC3031,5250
SAAC3036,5251
SAAC3042,5252
SAAC3104,5253
SAAC3106,5254
SAAC3110,5255
SAAC3112,5256
SAAC3113,5257
SAAC3163,5258
SAAC3170,5259
SAAC3172,5260
SAAC3181,5261
SAAC3182,5262
SAAC3312,5263
SAAC3385,5264
SAAC3526,5265
SAAC3571,5266
SAAC3572,5267
SAAC3575,5268
SAAC3578,5269
SAAC3613,5270
SAAC3634,5271
SAAC3704,5272
SAAC3729,5273
SAAC3886,5274
SAAC3894,5275
SAAC3926,5276
SAAC3930,5277
SAAC3935,5278
SAAC3938,5279
SAAC3953,5280
SAAC3973,5281
SAAC3980,5282
SAAC4094,5283
SAAC4113,5284
SAAC4128,5285
SAAC4141,5286
SAAC4179,5287
SAAC4235,5288
SAAC4246,5289
SAAC4262,5290
SAAC4274,5291
SAAC4275,5292
SAAC4408,5293
SAAC4410,5294
SAAC4421,5295
SAAC4423,5296
SAAD4508,5297
SAAD4510,5298
SAAD4623,5299
SAAD4632,5300
SAAD4633,5301
SAAD4635,5302
SAAD4670,5303
SAAD4677,5304
SAAD4679,5305
SAAD4827,5306
SAAD4875,5307
SAAD4876,5308
SAAD4880,5309
SAAD4889,5310
SAAD4907,5311
SAAD4918,5312
SAAD5018,5313
SAAD5036,5314
SAAD5038,5315
SAAD5045,5316
SAAD5047,5317
SAAD5219,5318
SAAD5247,5319
SAAD5249,5320
SAAD5253,5321
SAAD5310,5322
SAAD5321,5323
SAAD5331,5324
SAAD5390,5325
SAAD5392,5326
SAAD5493,5327
SAAD5510,5328
SAAD5513,5329
SAAD5572,5330
SAAD5581,5331
SAAD5666,5332
SAAD5667,5333
SAAD5685,5334
SAAD5686,5335
SAAD5687,5336
SAAD5698,5337
SAAD5699,5338
SAAD5706,5339
SAAD5730,5340
SAAD6016,5341
SAAD6026,5342
SAAD6031,5343
SAAD6080,5344
SAAD6095,5345
SAAD6182,5346
SAAD6261,5347
SAAD6264,5348
SAAD6268,5349
