sku,position
CCAF1866,191
CCAF1867,39
CCAF1869,116
CCAF1870,58
CCAF1871,166
CCAF1872,193
CCAF1873,50
CCAG1941,152
CCAM2985,65
CCAM2989,104
CCAM2990,114
CCAM2992,195
CCAM2995,99
CCAN3202,45
CCAN3203,95
CCAN3204,190
CCAN3205,177
CCAN3267,40
CCAN3268,93
CCAN3269,199
CCAN3270,54
CCAN3271,114
CCAN3272,101
CCAN3273,133
CCAN3274,1
CCAN3288,86
CCAN3289,29
CCAN3290,177
CCAN3291,164
CCAN3292,34
CCAN3293,137
CCAN3294,50
CCAN3295,183
CCAN3296,130
CCAN3297,44
CCAN3298,10
CCAN3299,139
CCAN3300,176
CCAN3301,87
CCAN3302,70
CCAN3303,82
CCAO3317,98
CCAO3320,60
CCAO3322,33
CCAO3342,199
CCAO3343,178
CCAO3344,9
CCAO3345,12
CCAO3346,196
PSKDAI4506,106
RCCAB1161,17
RCCAI2401,70
RSKDAA15466,192
RSKDAK5780,113
SAAA24160,60
SAAA24162,95
SAAA24163,115
SAAA24165,192
SAAD4807,4
SAAF9274,103
SAAF9279,185
SAAF9281,141
SAAF9285,69
SAAF9286,154
SAAH11863,55
SAAH11864,115
SAAJ14911,99
SAAJ14912,168
SAAJ14913,72
SAAJ14914,68
SAAJ14915,66
SAAJ14917,75
SAAJ14918,117
SAAJ14924,28
SAAJ14925,112
SAAL20506,174
SAAL20507,143
SAAL20508,15
SAAL20509,189
SAAL20510,14
SAAL20511,104
SAAL20512,43
SAAL20513,126
SAAL20514,17
SAAL20515,130
SAAM21169,153
SAAM21170,124
SAAM21172,29
SAAM21174,158
SAAM21175,63
SAAM21176,197
SAAM21177,104
SAAM21178,61
SAAM21179,0
SAAM21180,189
SAAM21181,96
SAAM21182,151
SAAN22504,8
SAAN22505,185
SAAN22506,108
SAAN22507,163
SAAN22508,147
SAAN22509,56
SAAN22510,76
SAAN22511,162
SAAN22512,33
SAAN22513,38
SAAN22514,19
SAAN22515,28
SAAN22516,146
SAAN22517,178
SAAN22518,183
SAAN22519,12
SAAN22520,46
SAAN22521,180
SAAN23185,4
SAAN23186,191
SAAN23187,114
SAAN23188,38
SAAN23189,164
SAAN23190,5
SAAN23191,103
SAAN23192,162
SAAN23193,164
SAAN23194,92
SAAN23195,147
SAAN23196,125
SAAN23197,115
SAAN23198,177
SAAN23199,144
SAAO24675,89
SAAO24676,199
SAAO24677,138
SAAO24679,159
SAAO24681,57
SAAO24682,8
SAAO24684,71
SAAO24686,9
SAAO24687,8
SAAO24688,117
SAAO24689,32
SAAO24691,163
SAAO24906,193
SAAO25195,154
SAAO25196,19
SAAO25197,143
SAAO25198,198
SAAO25199,57
SAAO25200,55
SAAO25201,123
SAAO25202,0
SAAO25203,105
SAAO25720,158
SAAO25721,80
SAAO25722,61
SAAO25723,174
SAAO25724,138
SAAO25725,102
SAAO25726,20
SAAO25727,97
SAAO25728,188
SAAO25729,195
SAAO25730,175
SAAO25731,182
SKDAM7213,70
SKDAM7214,133
SKDAM7215,35
SKDAM7216,47
SKDAM7217,13
SKDAM7218,142
SKDAM7522,168
SKDAM7523,172
SKDAM7524,141
SKDAM7525,128
SKDAM7526,127
SKDAM7527,42
SKDAM7528,146
SKDAM7529,136
SKDAM7715,52
SKDAM7716,33
SKDAM7717,141
SKDAN7931,88
SKDAN7932,75
SKDAN7933,56
SKDAN8161,152
SKDAN8162,45
SKDAN8163,80
SKDAN8164,128
SKDAN8165,166
SKDAN8166,25
SKDAO8677,8
SKDAO8746,90
SKDAO8747,172
SKDAO8748,9
SKDAO8749,162
SKDAO8750,199
SKDAP9065,164
SKDAP9066,119
