sku,position
KRTAP3844,779
KRTAP3845,215
KRTAP3846,390
KRTAP3847,626
KRTAP3848,143
KRTAP3849,888
KRTAP3850,237
KRTAP3851,906
KRTAP3852,509
KRTAP3853,167
KRTAP3854,469
KRTAP3855,43
KRTAP3856,995
KRTAP3857,491
KRTAP3858,641
KRTAP3859,943
KRTAP3860,781
KRTAP3861,273
KRTAP3862,600
KRTAP3863,678
KRTAP3864,719
KRTAP3865,712
KRTAP3866,558
KRTAP3867,236
KRTAP3868,743
KRTAP3869,837
KRTAP3870,788
KRTAP3871,836
KRTAP3872,732
KRTAP3873,529
KRTAP3874,863
KRTAP3875,446
KRTAP3876,889
KRTAP3877,461
KRTAP3878,806
KRTAP3879,328
KRTAP3880,398
KRTAP3881,17
KRTAP3882,968
KRTAP3883,602
KRTAP3884,736
KRTAP3885,846
KRTAP3886,107
KRTAP3887,445
KRTAP3888,622
KRTAP3889,717
KRTAP3890,987
KRTAP3891,117
KRTAP3892,320
KRTAP3893,52
KRTAP3894,847
KRTAP3895,772
KRTAP3896,694
KRTAP3897,834
KRTAP3898,799
KRTAP3899,574
KRTAP3900,164
KRTAP3901,76
KRTAP3902,501
KRTAP3903,882
KRTAP3904,20
KRTAP3905,577
KRTAP3906,15
KRTAP3907,455
KRTAP3908,964
KRTAP3909,651
KRTAP3910,977
KRTAP3911,342
KRTAP3912,169
KRTAP3913,346
KRTAP3914,940
KRTAP3915,265
KRTAP3916,288
KRTAP3917,147
KRTAP3918,113
KRTAP3919,158
KRTAP3920,2
KRTAP3921,63
KRTAP3922,263
KRTAP3923,731
KRTAP3924,930
KRTAP3925,35
KRTAP3926,991
KRTAP3927,526
KRTAP3928,539
KRTAP3929,837
KRTAP3930,155
KRTAP3931,899
KRTAP3932,670
KRTAP3933,815
KRTAP3934,416
KRTAP3935,151
KRTAP3936,94
KRTAP3758,388
KRTAP3759,680
KRTAP3760,199
KRTAP3761,906
KRTAP3762,411
KRTAP3764,701
KRTAP3765,66
KRTAP3766,373
KRTAP3767,326
KRTAP3768,736
KRTAP3769,973
KRTAP3770,170
KRTAP3771,321
KRTAP3772,846
KRTAP3773,771
KRTAP3774,748
KRTAP3775,159
KRTAP3776,992
KRTAP3777,0
KRTAP3778,445
KRTAP3779,318
KRTAP3780,995
KRTAP3782,394
KRTAP3783,524
KRTAP3784,936
KRTAP3785,792
KRTAP3786,716
KRTAP3787,468
KRTAP3788,24
KRTAP3789,596
KRTAP3790,855
KRTAP3791,849
KRTAP3792,962
KRTAP3793,378
KRTAP3794,564
KRTAP3795,643
KRTAP3796,711
KRTAP3797,280
KRTAP3798,639
KRTAP3799,87
KRTAP3800,938
KRTAP3801,741
KRTAP3802,573
KRTAP3803,178
KRTAP3804,493
KRTAP3805,75
KRTAP3806,6
KRTAP3807,929
KRTAP3808,728
KRTAP3809,438
KRTAP3810,978
KRTAP3811,857
KRTAP3812,760
KRTAP3813,421
KRTAP3814,676
KRTAP3815,805
KRTAP3816,351
KRTAP3817,809
KRTAP3818,407
KRTAP3819,313
KRTAP3820,343
KRTAP3821,99
KRTAP3822,602
KRTAP3823,712
KRTAP3824,112
KRTAP3825,656
KRTAP3826,999
KRTAP3827,322
KRTAP3828,438
KRTAP3829,373
KRTAP3830,771
KRTAP3831,229
KRTAP3832,122
KRTAP3833,718
KRTAP3834,304
KRTAP3835,650
KRTAP3836,168
KRTAP3837,415
KRTAP3838,365
KRTAP3839,230
KRTAP3840,379
KRTAP3841,937
KRTAP3842,351
KRTAP3843,243
