Country,Region/State,"Zip/Postal Code","Weight (and above)","Shipping Price"
AFG,*,*,500.0000,1992.0000
AFG,*,*,1000.0000,1992.0000
AFG,*,*,1500.0000,2542.0000
AFG,*,*,2000.0000,3023.0000
AFG,*,*,2500.0000,3504.0000
AFG,*,*,3000.0000,3985.0000
AFG,*,*,3500.0000,4534.0000
AFG,*,*,4000.0000,5015.0000
AFG,*,*,4500.0000,5496.0000
AFG,*,*,5000.0000,6046.0000
AFG,*,*,5500.0000,6527.0000
AFG,*,*,6000.0000,7007.0000
AFG,*,*,6500.0000,7557.0000
AFG,*,*,7000.0000,8038.0000
AFG,*,*,7500.0000,8519.0000
AFG,*,*,8000.0000,9068.0000
AFG,*,*,8500.0000,9549.0000
AFG,*,*,9000.0000,10030.0000
AFG,*,*,9500.0000,10580.0000
AFG,*,*,10000.0000,11061.0000
AFG,*,*,11000.0000,12229.0000
AFG,*,*,12000.0000,13397.0000
AFG,*,*,13000.0000,14564.0000
AFG,*,*,14000.0000,15732.0000
AFG,*,*,15000.0000,16900.0000
AFG,*,*,16000.0000,17972.0000
AFG,*,*,17000.0000,19044.0000
AFG,*,*,18000.0000,20115.0000
AFG,*,*,19000.0000,21187.0000
AFG,*,*,20000.0000,22259.0000
AFG,*,*,21000.0000,23331.0000
AFG,*,*,22000.0000,24402.0000
AFG,*,*,23000.0000,25474.0000
AFG,*,*,24000.0000,26546.0000
AFG,*,*,25000.0000,27617.0000
AFG,*,*,26000.0000,28648.0000
AFG,*,*,27000.0000,29678.0000
AFG,*,*,28000.0000,30709.0000
AFG,*,*,29000.0000,31739.0000
AFG,*,*,30000.0000,32770.0000
AFG,*,*,31000.0000,33800.0000
AFG,*,*,32000.0000,34831.0000
AFG,*,*,33000.0000,35861.0000
AFG,*,*,34000.0000,36892.0000
AFG,*,*,35000.0000,37922.0000
AFG,*,*,36000.0000,38953.0000
AFG,*,*,37000.0000,39983.0000
AFG,*,*,38000.0000,41014.0000
AFG,*,*,39000.0000,42044.0000
